Condition;Displacement Level;Answer;Time stamp
Body warping;0.15;No;12/2/2020 10:57:56 AM
Body warping;0.06;No;12/2/2020 10:58:06 AM
Body warping;0.12;Yes;12/2/2020 10:58:23 AM
Body warping;0.15;No;12/2/2020 10:58:37 AM
Body warping;0.02999997;No;12/2/2020 10:58:50 AM
Body warping;0.12;Yes;12/2/2020 10:59:13 AM
Body warping;3.576279E-07;Yes;12/2/2020 10:59:27 AM
Body warping;0.09;No;12/2/2020 10:59:37 AM
Body warping;0.03;Yes;12/2/2020 10:59:46 AM
Body warping;0.15;No;12/2/2020 10:59:55 AM
Body warping;0.09000003;Yes;12/2/2020 11:00:04 AM
Body warping;0.03000003;Yes;12/2/2020 11:00:17 AM
Body warping;0.06;No;12/2/2020 11:00:25 AM
Body warping;0.12;Yes;12/2/2020 11:00:34 AM
Body warping;1.192093E-07;No;12/2/2020 11:00:42 AM
Body warping;0.03;Yes;12/2/2020 11:00:52 AM
Body warping;0.15;Yes;12/2/2020 11:01:13 AM
Body warping;5.960464E-08;Yes;12/2/2020 11:01:27 AM
Body warping;0.06;No;12/2/2020 11:01:35 AM
Body warping;0.06;No;12/2/2020 11:01:53 AM
Body warping;0;No;12/2/2020 11:02:02 AM
Body warping;0.08999997;No;12/2/2020 11:02:15 AM
Body warping;0.09;No;12/2/2020 11:02:26 AM
Body warping;0.12;No;12/2/2020 11:02:37 AM
