Condition;X;Y;Z;Displacement;Time stamp
Body warping;0.06841878;0.5665773;0.1305043;0.15;10/26/2021 2:33:14 PM
Body warping;0.06953482;0.5661739;0.1284349;0.15;10/26/2021 2:33:14 PM
Body warping;0.07060372;0.5658118;0.1264299;0.15;10/26/2021 2:33:14 PM
Body warping;0.07390805;0.5653227;0.1212144;0.15;10/26/2021 2:33:15 PM
Body warping;0.07531332;0.5653983;0.1194795;0.15;10/26/2021 2:33:15 PM
Body warping;0.07723195;0.5657514;0.1170521;0.15;10/26/2021 2:33:15 PM
Body warping;0.07785617;0.5659888;0.1162368;0.15;10/26/2021 2:33:15 PM
Body warping;0.0784435;0.5662794;0.1154739;0.15;10/26/2021 2:33:15 PM
Body warping;0.07973642;0.5667927;0.1137057;0.15;10/26/2021 2:33:15 PM
Body warping;0.07976361;0.5669878;0.1129214;0.15;10/26/2021 2:33:15 PM
Body warping;0.0800181;0.5673527;0.1111941;0.15;10/26/2021 2:33:15 PM
Body warping;0.08032607;0.5675188;0.1104818;0.15;10/26/2021 2:33:15 PM
Body warping;0.08066052;0.567681;0.1097251;0.15;10/26/2021 2:33:15 PM
Body warping;0.08081126;0.5675812;0.1083935;0.15;10/26/2021 2:33:15 PM
Body warping;0.08066671;0.5673545;0.1078093;0.15;10/26/2021 2:33:15 PM
Body warping;0.08056966;0.5671523;0.1071898;0.15;10/26/2021 2:33:15 PM
Body warping;0.08086304;0.5667217;0.1068094;0.15;10/26/2021 2:33:15 PM
Body warping;0.08129508;0.5665435;0.1063253;0.15;10/26/2021 2:33:15 PM
Body warping;0.0821603;0.5662082;0.1052418;0.15;10/26/2021 2:33:15 PM
Body warping;0.08278229;0.5660644;0.1047973;0.15;10/26/2021 2:33:15 PM
Body warping;0.08337935;0.5659264;0.1043385;0.15;10/26/2021 2:33:15 PM
Body warping;0.08417644;0.5656033;0.1036123;0.15;10/26/2021 2:33:15 PM
Body warping;0.08441125;0.5654211;0.1033316;0.15;10/26/2021 2:33:15 PM
Body warping;0.0849781;0.5650539;0.1021666;0.15;10/26/2021 2:33:15 PM
Body warping;0.08530036;0.5648682;0.1013348;0.15;10/26/2021 2:33:15 PM
Body warping;0.08526634;0.5642702;0.1003124;0.15;10/26/2021 2:33:15 PM
Body warping;0.08496679;0.5638762;0.1000642;0.15;10/26/2021 2:33:15 PM
Body warping;0.08442234;0.5633063;0.1000228;0.15;10/26/2021 2:33:15 PM
Body warping;0.08344946;0.5621797;0.09981191;0.15;10/26/2021 2:33:15 PM
Body warping;0.08303829;0.5616732;0.09968436;0.15;10/26/2021 2:33:15 PM
Body warping;0.08374159;0.5609775;0.09969998;0.15;10/26/2021 2:33:15 PM
Body warping;0.08394276;0.5605743;0.09992837;0.15;10/26/2021 2:33:15 PM
Body warping;0.08428197;0.5597792;0.10028;0.15;10/26/2021 2:33:15 PM
Body warping;0.08354648;0.559131;0.1007246;0.15;10/26/2021 2:33:15 PM
Body warping;0.08287232;0.5585058;0.1011256;0.15;10/26/2021 2:33:15 PM
Body warping;0.08214417;0.5572062;0.1006363;0.15;10/26/2021 2:33:15 PM
Body warping;0.08203121;0.5565335;0.0998595;0.15;10/26/2021 2:33:15 PM
Body warping;0.08198454;0.5551934;0.09797362;0.15;10/26/2021 2:33:15 PM
Body warping;0.08203837;0.5545578;0.09692793;0.15;10/26/2021 2:33:15 PM
Body warping;0.08247039;0.5534628;0.09550122;0.15;10/26/2021 2:33:15 PM
Body warping;0.08282406;0.5529881;0.09505613;0.15;10/26/2021 2:33:15 PM
Body warping;0.0831439;0.5525035;0.09460457;0.15;10/26/2021 2:33:15 PM
Body warping;0.08316504;0.5520603;0.09506731;0.15;10/26/2021 2:33:15 PM
Body warping;0.08341321;0.5519557;0.09570992;0.15;10/26/2021 2:33:15 PM
Body warping;0.08386642;0.5516664;0.09677761;0.15;10/26/2021 2:33:15 PM
Body warping;0.08406956;0.5515033;0.09722016;0.15;10/26/2021 2:33:15 PM
Body warping;0.08344741;0.5516322;0.09908608;0.15;10/26/2021 2:33:15 PM
Body warping;0.08252335;0.5516334;0.09894515;0.15;10/26/2021 2:33:15 PM
Body warping;0.08090147;0.5515772;0.09873616;0.15;10/26/2021 2:33:15 PM
Body warping;0.08022571;0.5515375;0.09865987;0.15;10/26/2021 2:33:15 PM
Body warping;0.08068039;0.5512949;0.09670841;0.15;10/26/2021 2:33:15 PM
Body warping;0.08247914;0.5508259;0.0932901;0.15;10/26/2021 2:33:15 PM
Body warping;0.08375993;0.5505966;0.09175419;0.15;10/26/2021 2:33:15 PM
Body warping;0.08638026;0.55085;0.09137438;0.15;10/26/2021 2:33:16 PM
Body warping;0.08752654;0.5509493;0.09118284;0.15;10/26/2021 2:33:16 PM
Body warping;0.08896979;0.5511401;0.0914457;0.15;10/26/2021 2:33:16 PM
Body warping;0.08934196;0.5512341;0.09185001;0.15;10/26/2021 2:33:16 PM
Body warping;0.08893736;0.5516623;0.09356839;0.15;10/26/2021 2:33:16 PM
Body warping;0.08880664;0.5518584;0.09433804;0.15;10/26/2021 2:33:16 PM
Body warping;0.08871038;0.5520457;0.09506452;0.15;10/26/2021 2:33:16 PM
