Condition;X;Y;Z;Displacement;Time stamp
Body warping;-0,006952155;0,9040402;0,07211426;0,09;2021-08-20 18:50:24
Body warping;-0,008053313;0,9056708;0,07867493;0,09;2021-08-20 18:50:24
Body warping;-0,01041388;0,9055991;0,08646023;0,09;2021-08-20 18:50:25
Body warping;-0,01408498;0,8998777;0,1088075;0,09;2021-08-20 18:50:25
Body warping;-0,0155972;0,8974841;0,1180705;0,09;2021-08-20 18:50:25
Body warping;-0,01717275;0,8929966;0,1293373;0,09;2021-08-20 18:50:25
Body warping;-0,01717275;0,8929966;0,1293373;0,09;2021-08-20 18:50:25
Body warping;-0,01743133;0,8884676;0,1367844;0,09;2021-08-20 18:50:25
Body warping;-0,01773165;0,884621;0,1434174;0,09;2021-08-20 18:50:25
Body warping;-0,01577866;0,8795487;0,1514739;0,09;2021-08-20 18:50:25
Body warping;-0,01405797;0,8764522;0,1580131;0,09;2021-08-20 18:50:25
Body warping;-0,01199395;0,8751496;0,1626369;0,09;2021-08-20 18:50:25
Body warping;-0,01199395;0,8751496;0,1626369;0,09;2021-08-20 18:50:25
Body warping;-0,01020612;0,8736529;0,1675933;0,09;2021-08-20 18:50:25
Body warping;-0,008572486;0,872442;0,1712187;0,09;2021-08-20 18:50:25
Body warping;-0,006886388;0,8689841;0,1746992;0,09;2021-08-20 18:50:25
Body warping;-0,005433282;0,8656965;0,1784421;0,09;2021-08-20 18:50:25
Body warping;-0,002162244;0,8586425;0,1843276;0,09;2021-08-20 18:50:25
Body warping;0,001878163;0,8512418;0,1902846;0,09;2021-08-20 18:50:25
Body warping;0,001878163;0,8512418;0,1902846;0,09;2021-08-20 18:50:25
Body warping;0,007318895;0,8411035;0,1987173;0,09;2021-08-20 18:50:25
Body warping;0,008817484;0,8420954;0,1967581;0,09;2021-08-20 18:50:25
Body warping;0,01325911;0,8410541;0,1984817;0,09;2021-08-20 18:50:25
Body warping;0,01701417;0,8393414;0,2011404;0,09;2021-08-20 18:50:25
Body warping;0,02043634;0,8372058;0,2044841;0,09;2021-08-20 18:50:25
Body warping;0,02388482;0,8347655;0,2081446;0,09;2021-08-20 18:50:25
Body warping;0,02683675;0,8342588;0,209613;0,09;2021-08-20 18:50:25
Body warping;0,03124481;0,8317513;0,213644;0,09;2021-08-20 18:50:25
Body warping;0,03570658;0,8290632;0,217878;0,09;2021-08-20 18:50:25
Body warping;0,03570658;0,8290632;0,217878;0,09;2021-08-20 18:50:25
Body warping;0,03890311;0,8293377;0,2212547;0,09;2021-08-20 18:50:25
Body warping;0,04207839;0,8296616;0,2245358;0,09;2021-08-20 18:50:25
Body warping;0,04474152;0,8314947;0,2262364;0,09;2021-08-20 18:50:25
Body warping;0,04880298;0,8317454;0,2287799;0,09;2021-08-20 18:50:25
Body warping;0,0538584;0,8296276;0,2335502;0,09;2021-08-20 18:50:25
Body warping;0,05893914;0,8274028;0,2384276;0,09;2021-08-20 18:50:25
Body warping;0,0657047;0,8237658;0,2461161;0,09;2021-08-20 18:50:25
Body warping;0,0713608;0,8200454;0,2530578;0,09;2021-08-20 18:50:25
Body warping;0,07935067;0,8146856;0,2629291;0,09;2021-08-20 18:50:25
Body warping;0,07935067;0,8146856;0,2629291;0,09;2021-08-20 18:50:25
Body warping;0,08361243;0,812667;0,2687604;0,09;2021-08-20 18:50:25
Body warping;0,08790209;0,8103353;0,2745785;0,09;2021-08-20 18:50:25
Body warping;0,09326731;0,805656;0,2816103;0,09;2021-08-20 18:50:25
Body warping;0,09741449;0,8013492;0,2886342;0,09;2021-08-20 18:50:25
Body warping;0,09765334;0,8005948;0,291253;0,09;2021-08-20 18:50:25
Body warping;0,0981424;0,799727;0,294011;0,09;2021-08-20 18:50:25
Body warping;0,09847896;0,7985188;0,2957804;0,09;2021-08-20 18:50:25
Body warping;0,09849642;0,7975074;0,297686;0,09;2021-08-20 18:50:25
Body warping;0,09849642;0,7975074;0,297686;0,09;2021-08-20 18:50:25
Body warping;0,09866371;0,7964581;0,2997227;0,09;2021-08-20 18:50:25
Body warping;0,0989157;0,7955548;0,3016547;0,09;2021-08-20 18:50:25
Body warping;0,09951302;0,7947118;0,3043609;0,09;2021-08-20 18:50:25
Body warping;0,1001118;0,7938393;0,3069939;0,09;2021-08-20 18:50:26
Body warping;0,09948736;0,7924055;0,3089755;0,09;2021-08-20 18:50:26
Body warping;0,09869826;0,7914279;0,3105672;0,09;2021-08-20 18:50:26
Body warping;0,09802492;0,7904439;0,3122169;0,09;2021-08-20 18:50:26
Body warping;0,09773389;0,789205;0,3135542;0,09;2021-08-20 18:50:26
Body warping;0,09736939;0,7874289;0,314342;0,09;2021-08-20 18:50:26
Body warping;0,09736939;0,7874289;0,314342;0,09;2021-08-20 18:50:26
Body warping;0,09703063;0,7857174;0,3152273;0,09;2021-08-20 18:50:26
Body warping;0,09670148;0,7843266;0,315949;0,09;2021-08-20 18:50:26
Body warping;0,09580281;0,7828974;0,3158105;0,09;2021-08-20 18:50:26
Body warping;0,09495822;0,7814065;0,3158333;0,09;2021-08-20 18:50:26
Body warping;0,09283252;0,7799957;0,3165681;0,09;2021-08-20 18:50:26
Body warping;0,08960149;0,7799362;0,3158461;0,09;2021-08-20 18:50:26
Body warping;0,08653281;0,7797692;0,3152277;0,09;2021-08-20 18:50:26
Body warping;0,08440229;0,7795368;0,3140018;0,09;2021-08-20 18:50:26
Body warping;0,08266218;0,7793177;0,3133598;0,09;2021-08-20 18:50:26
Body warping;0,08266218;0,7793177;0,3133598;0,09;2021-08-20 18:50:26
Body warping;0,08090703;0,7790576;0,3127652;0,09;2021-08-20 18:50:26
Body warping;0,07924543;0,7787731;0,312316;0,09;2021-08-20 18:50:26
Body warping;0,07833873;0,7784872;0,312729;0,09;2021-08-20 18:50:26
Body warping;0,07687179;0,778309;0,3143854;0,09;2021-08-20 18:50:26
Body warping;0,07517012;0,7784228;0,3150746;0,09;2021-08-20 18:50:26
Body warping;0,07346853;0,7784927;0,3156831;0,09;2021-08-20 18:50:26
Body warping;0,0724764;0,7778677;0,3152589;0,09;2021-08-20 18:50:26
Body warping;0,07130315;0,7775808;0,3159949;0,09;2021-08-20 18:50:26
Body warping;0,07047094;0,7772656;0,3166502;0,09;2021-08-20 18:50:26
Body warping;0,07047094;0,7772656;0,3166502;0,09;2021-08-20 18:50:26
Body warping;0,06958603;0,7769594;0,3172737;0,09;2021-08-20 18:50:26
Body warping;0,06880469;0,7766343;0,3177491;0,09;2021-08-20 18:50:26
Body warping;0,06896669;0,7761114;0,317288;0,09;2021-08-20 18:50:26
Body warping;0,0693801;0,7760196;0,3168558;0,09000159;2021-08-20 18:50:26
Body warping;0,06974054;0,7758843;0,3171112;0,09000536;2021-08-20 18:50:26
Body warping;0,06999155;0,7757356;0,3173767;0,09001373;2021-08-20 18:50:26
Body warping;0,07021619;0,7758743;0,3184691;0,09002722;2021-08-20 18:50:26
Body warping;0,07046568;0,7757345;0,3193636;0,09006096;2021-08-20 18:50:26
Body warping;0,07066741;0,7755885;0,3202113;0,09009637;2021-08-20 18:50:26
Body warping;0,07066741;0,7755885;0,3202113;0,09013788;2021-08-20 18:50:26
Body warping;0,07111464;0,7753118;0,3205491;0,09012914;2021-08-20 18:50:26
Body warping;0,07153392;0,7749882;0,3209589;0,09013879;2021-08-20 18:50:26
Body warping;-0,08349568;1,333682;0,3360516;0,06;2021-08-20 18:50:28
Body warping;-0,08349568;1,333682;0,3360516;0,06;2021-08-20 18:50:28
Body warping;-0,08747826;1,334939;0,3399732;0,06;2021-08-20 18:50:28
Body warping;-0,09114346;1,337088;0,3446067;0,06;2021-08-20 18:50:28
Body warping;-0,09346908;1,336635;0,3459719;0,06;2021-08-20 18:50:28
Body warping;-0,09614968;1,33659;0,3465563;0,06;2021-08-20 18:50:28
Body warping;-0,09874045;1,337169;0,3478511;0,06;2021-08-20 18:50:28
Body warping;-0,09981733;1,339912;0,359916;0,06;2021-08-20 18:50:28
Body warping;-0,1006787;1,339316;0,3626786;0,06;2021-08-20 18:50:28
