Condition;X;Y;Z;Displacement;Time stamp
Body warping;-0,1097943;0,8447891;0,07448913;0,09;2021-08-20 18:16:32
Body warping;-0,1097943;0,8447891;0,07448913;0,09;2021-08-20 18:16:32
Body warping;-0,1052235;0,8342037;0,1077223;0,09;2021-08-20 18:16:32
Body warping;-0,1022593;0,8320279;0,1228137;0,09;2021-08-20 18:16:32
Body warping;-0,09996124;0,8319956;0,1473822;0,09;2021-08-20 18:16:32
Body warping;-0,09996124;0,8319956;0,1473822;0,09;2021-08-20 18:16:32
Body warping;-0,1034573;0,8367758;0,1555709;0,09;2021-08-20 18:16:32
Body warping;-0,1065348;0,8410618;0,1643152;0,09;2021-08-20 18:16:32
Body warping;-0,108249;0,8404092;0,1717433;0,09;2021-08-20 18:16:32
Body warping;-0,1066839;0,8364007;0,1825738;0,09;2021-08-20 18:16:32
Body warping;-0,1051879;0,8326333;0,1941505;0,09;2021-08-20 18:16:32
Body warping;-0,1051879;0,8326333;0,1941505;0,09;2021-08-20 18:16:32
Body warping;-0,103399;0,8280662;0,2119979;0,09;2021-08-20 18:16:33
Body warping;-0,1027774;0,8270823;0,2191761;0,09;2021-08-20 18:16:33
Body warping;-0,1027774;0,8270823;0,2191761;0,09;2021-08-20 18:16:33
Body warping;-0,1023699;0,825669;0,2332884;0,09;2021-08-20 18:16:33
Body warping;-0,1016128;0,8235243;0,2398753;0,09;2021-08-20 18:16:33
Body warping;-0,1012031;0,8226938;0,2442917;0,09;2021-08-20 18:16:33
Body warping;-0,1012031;0,8226938;0,2442917;0,09;2021-08-20 18:16:33
Body warping;-0,1005048;0,8209835;0,2533057;0,09;2021-08-20 18:16:33
Body warping;-0,09939871;0,8182729;0,2600151;0,09;2021-08-20 18:16:33
Body warping;-0,09939871;0,8182729;0,2600151;0,09;2021-08-20 18:16:33
Body warping;-0,09831828;0,8157442;0,2666637;0,09;2021-08-20 18:16:33
Body warping;-0,09684953;0,8130582;0,273117;0,09;2021-08-20 18:16:33
Body warping;-0,09151378;0,8065242;0,2843949;0,09;2021-08-20 18:16:33
Body warping;-0,08930665;0,8021013;0,2904268;0,09;2021-08-20 18:16:33
Body warping;-0,08828128;0,8017265;0,2925612;0,09;2021-08-20 18:16:33
Body warping;-0,08734018;0,801289;0,2947402;0,09;2021-08-20 18:16:33
Body warping;-0,08696015;0,802583;0,2954347;0,09;2021-08-20 18:16:33
Body warping;-0,08646289;0,8036425;0,2966351;0,09;2021-08-20 18:16:33
Body warping;-0,08615272;0,8056969;0,2966896;0,09;2021-08-20 18:16:33
Body warping;-0,08518298;0,8077197;0,2965534;0,09;2021-08-20 18:16:33
Body warping;-0,08532035;0,8079609;0,2958116;0,09;2021-08-20 18:16:33
Body warping;-0,08374882;0,8085908;0,2977456;0,09;2021-08-20 18:16:33
Body warping;-0,08149151;0,8094575;0,2986017;0,09;2021-08-20 18:16:33
Body warping;-0,07935836;0,8102427;0,2994818;0,09;2021-08-20 18:16:33
Body warping;-0,07935836;0,8102427;0,2994818;0,09;2021-08-20 18:16:33
Body warping;-0,07490887;0,8101839;0,3008866;0,09;2021-08-20 18:16:33
Body warping;-0,07280575;0,8102124;0,3015219;0,09;2021-08-20 18:16:33
Body warping;-0,07280575;0,8102124;0,3015219;0,09;2021-08-20 18:16:33
Body warping;-0,06970211;0,8080515;0,3043326;0,09;2021-08-20 18:16:33
Body warping;-0,06750683;0,8075721;0,3040041;0,09;2021-08-20 18:16:33
Body warping;-0,06525541;0,8070736;0,3038116;0,09;2021-08-20 18:16:33
Body warping;-0,06278262;0,8069492;0,3021653;0,09;2021-08-20 18:16:33
Body warping;-0,06038583;0,8067884;0,3007627;0,09;2021-08-20 18:16:33
Body warping;-0,05882652;0,805753;0,3016312;0,09;2021-08-20 18:16:33
Body warping;-0,05882652;0,805753;0,3016312;0,09;2021-08-20 18:16:33
Body warping;-0,05689805;0,8025973;0,3054782;0,09;2021-08-20 18:16:33
Body warping;-0,05616041;0,8007002;0,3071685;0,09;2021-08-20 18:16:33
Body warping;-0,05615977;0,8006936;0,307174;0,09;2021-08-20 18:16:33
Body warping;-0,05571009;0,7981213;0,309283;0,09;2021-08-20 18:16:33
Body warping;-0,05579738;0,7951919;0,3128097;0,09;2021-08-20 18:16:33
Body warping;-0,05574154;0,7924238;0,3161045;0,09;2021-08-20 18:16:33
Body warping;-0,0549292;0,7891268;0,3182184;0,09;2021-08-20 18:16:33
Body warping;-0,05424206;0,7869546;0,3195478;0,09000008;2021-08-20 18:16:33
Body warping;-0,05354216;0,7847968;0,3209423;0,09000008;2021-08-20 18:16:33
Body warping;-0,05384767;0,7835798;0,3216869;0,09000008;2021-08-20 18:16:33
Body warping;-0,05458863;0,782973;0,3229952;0,09000008;2021-08-20 18:16:33
Body warping;-0,05458863;0,782973;0,3229952;0,09000008;2021-08-20 18:16:33
Body warping;-0,05520451;0,7822469;0,3243351;0,09000281;2021-08-20 18:16:33
Body warping;-0,05567044;0,7815852;0,3254929;0,09000165;2021-08-20 18:16:33
Body warping;-0,05601993;0,7807799;0,3272352;0,09000087;2021-08-20 18:16:34
Body warping;-0,05635019;0,7799155;0,3289911;0,09000038;2021-08-20 18:16:34
Body warping;-0,05611496;0,7794208;0,3307299;0,09000038;2021-08-20 18:16:34
Body warping;-0,05571265;0,7792983;0,3322991;0,09000099;2021-08-20 18:16:34
Body warping;-0,05534743;0,7791079;0,3338827;0,09001102;2021-08-20 18:16:34
Body warping;-0,05501124;0,778951;0,3343345;0,09003415;2021-08-20 18:16:34
Body warping;-0,05461585;0,7785212;0,3348017;0,09008355;2021-08-20 18:16:34
Body warping;-0,05461585;0,7785212;0,3348017;0,09007697;2021-08-20 18:16:34
Body warping;-0,0539057;0,7776682;0,335879;0,09013078;2021-08-20 18:16:34
Body warping;-0,05417133;0,7772557;0,3368489;0,09013879;2021-08-20 18:16:34
Body warping;-0,05377353;0,776807;0,3383163;0,09013879;2021-08-20 18:16:34
Body warping;-0,0533636;0,7763326;0,3397851;0,09013879;2021-08-20 18:16:34
Body warping;-0,05235547;0,7756321;0,3408158;0,09013879;2021-08-20 18:16:34
Body warping;-0,05104448;0,7752174;0,3412941;0,09013879;2021-08-20 18:16:34
Body warping;-0,05104448;0,7752174;0,3412941;0,0905087;2021-08-20 18:16:34
Body warping;-0,04978464;0,7747902;0,3418323;0,09013879;2021-08-20 18:16:34
Body warping;-0,04742029;0,7732741;0,3415644;0,09013879;2021-08-20 18:16:34
Body warping;-0,04633126;0,7722324;0,340966;0,09013879;2021-08-20 18:16:34
Body warping;-0,04633126;0,7722324;0,340966;0,09103207;2021-08-20 18:16:34
Body warping;-0,04524461;0,7706587;0,3397849;0,09013879;2021-08-20 18:16:34
Body warping;-0,04419606;0,7691388;0,3387897;0,09013801;2021-08-20 18:16:34
Body warping;-0,04432763;0,7691382;0,3387947;0,09013727;2021-08-20 18:16:34
Body warping;-0,04365554;0,7672642;0,3384225;0,09013718;2021-08-20 18:16:34
Body warping;-0,04396016;0,7654811;0,3386354;0,09013717;2021-08-20 18:16:34
Body warping;-0,04423651;0,7638116;0,338838;0,09013716;2021-08-20 18:16:34
Body warping;-0,04451789;0,7627281;0,3383844;0,09013716;2021-08-20 18:16:34
Body warping;-0,04451789;0,7627281;0,3383844;0,09013716;2021-08-20 18:16:34
Body warping;-0,04473551;0,7625359;0,3383362;0,09013879;2021-08-20 18:16:34
Body warping;-0,04494569;0,762305;0,3383011;0,09013879;2021-08-20 18:16:34
Body warping;-0,0449853;0,7631645;0,3381312;0,09013879;2021-08-20 18:16:34
Body warping;-0,04516385;0,7645773;0,3385134;0,09013878;2021-08-20 18:16:34
Body warping;-0,04534123;0,7658771;0,3388792;0,09013877;2021-08-20 18:16:34
Body warping;-0,04534123;0,7658771;0,3388792;0,09144332;2021-08-20 18:16:34
Body warping;-0,04410879;0,7703245;0,3391694;0,09013879;2021-08-20 18:16:34
Body warping;-0,04333167;0,7740715;0,3389371;0,09011965;2021-08-20 18:16:34
Body warping;-0,04333167;0,7740715;0,3389371;0,09009814;2021-08-20 18:16:34
Body warping;-0,04243167;0,7845284;0,3375962;0,09007665;2021-08-20 18:16:34
Body warping;-0,0424758;0,7914243;0,3340441;0,09;2021-08-20 18:16:34
Body warping;-0,0424758;0,7914243;0,3340441;0,09000147;2021-08-20 18:16:34
Body warping;-0,04325711;0,8000945;0,3289183;0,09;2021-08-20 18:16:34
Body warping;-0,04393563;0,8082007;0,3242597;0,09;2021-08-20 18:16:34
Body warping;-0,04833598;0,8253605;0,3116841;0,09;2021-08-20 18:16:34
