Condition;X;Y;Z;Displacement;Time stamp
Body warping;0.2140509;0.6819128;0.07443946;0.15;12/1/2020 12:46:44 PM
Body warping;0.2062937;0.6773946;0.07809042;0.15;12/1/2020 12:46:44 PM
Body warping;0.2062937;0.6773946;0.07809042;0.15;12/1/2020 12:46:44 PM
Body warping;0.2339266;0.6424811;0.0943026;0.15;12/1/2020 12:46:44 PM
Body warping;0.2360048;0.6390796;0.1000345;0.15;12/1/2020 12:46:44 PM
Body warping;0.2360048;0.6390796;0.1000345;0.15;12/1/2020 12:46:44 PM
Body warping;0.2322465;0.6480707;0.1021575;0.15;12/1/2020 12:46:44 PM
Body warping;0.2217892;0.6697604;0.09892073;0.15;12/1/2020 12:46:44 PM
Body warping;0.2217892;0.6697604;0.09892073;0.15;12/1/2020 12:46:44 PM
Body warping;0.1833428;0.7461067;0.07644181;0.15;12/1/2020 12:46:44 PM
Body warping;0.1833428;0.7461067;0.07644181;0.15;12/1/2020 12:46:44 PM
Body warping;0.1763709;0.7569792;0.07422577;0.15;12/1/2020 12:46:44 PM
Body warping;0.1752806;0.7499775;0.07495768;0.15;12/1/2020 12:46:44 PM
Body warping;0.208554;0.7082834;0.083181;0.15;12/1/2020 12:46:44 PM
Body warping;0.208554;0.7082834;0.083181;0.15;12/1/2020 12:46:44 PM
Body warping;0.2344718;0.6733063;0.08998916;0.15;12/1/2020 12:46:44 PM
Body warping;0.2367659;0.6691194;0.09207828;0.15;12/1/2020 12:46:44 PM
Body warping;0.2676939;0.6192115;0.09143177;0.15;12/1/2020 12:46:44 PM
Body warping;0.2676939;0.6192115;0.09143177;0.15;12/1/2020 12:46:44 PM
Body warping;0.3125639;0.538217;0.09240401;0.15;12/1/2020 12:46:44 PM
Body warping;0.318764;0.5246915;0.09308989;0.15;12/1/2020 12:46:44 PM
Body warping;0.318764;0.5246915;0.09308989;0.15;12/1/2020 12:46:44 PM
Body warping;0.3334738;0.4975477;0.09087195;0.15;12/1/2020 12:46:44 PM
Body warping;0.3485099;0.4704963;0.08866484;0.15;12/1/2020 12:46:44 PM
