Condition;X;Y;Z;Displacement;Time stamp
Body warping;-0,1204429;0,8465216;0,0741711;0,15;2021-08-20 18:28:37
Body warping;-0,1204429;0,8465216;0,0741711;0,15;2021-08-20 18:28:37
Body warping;-0,120227;0,8466535;0,07694446;0,15;2021-08-20 18:28:37
Body warping;-0,1189498;0,844381;0,08256632;0,15;2021-08-20 18:28:37
Body warping;-0,1176093;0,8413773;0,08626479;0,15;2021-08-20 18:28:37
Body warping;-0,1151494;0,8371915;0,0881141;0,15;2021-08-20 18:28:37
Body warping;-0,1151494;0,8371915;0,0881141;0,15;2021-08-20 18:28:37
Body warping;-0,1123314;0,8341654;0,08804736;0,15;2021-08-20 18:28:37
Body warping;-0,109686;0,8312716;0,08812748;0,15;2021-08-20 18:28:37
Body warping;-0,106901;0,8311677;0,08600072;0,15;2021-08-20 18:28:37
Body warping;-0,1036178;0,8315311;0,08467042;0,15;2021-08-20 18:28:37
Body warping;-0,1036178;0,8315311;0,08467042;0,15;2021-08-20 18:28:37
Body warping;-0,1001628;0,8316542;0,08344488;0,15;2021-08-20 18:28:37
Body warping;-0,09840514;0,8318506;0,08247283;0,15;2021-08-20 18:28:37
Body warping;-0,0957315;0,8320687;0,08300305;0,15;2021-08-20 18:28:37
Body warping;-0,0913427;0,8306068;0,08419532;0,15;2021-08-20 18:28:37
Body warping;-0,08713076;0,829202;0,08527672;0,15;2021-08-20 18:28:37
Body warping;-0,08713076;0,829202;0,08527672;0,15;2021-08-20 18:28:37
Body warping;-0,07930436;0,827184;0,08689854;0,15;2021-08-20 18:28:37
Body warping;-0,07930436;0,827184;0,08689854;0,15;2021-08-20 18:28:37
Body warping;-0,06965041;0,8275402;0,09056079;0,15;2021-08-20 18:28:37
Body warping;-0,06965041;0,8275402;0,09056079;0,15;2021-08-20 18:28:37
Body warping;-0,05697805;0,8271399;0,09687123;0,15;2021-08-20 18:28:37
Body warping;-0,05697805;0,8271399;0,09687123;0,15;2021-08-20 18:28:37
Body warping;-0,04272227;0,8373932;0,1137265;0,15;2021-08-20 18:28:37
Body warping;-0,04272227;0,8373932;0,1137265;0,15;2021-08-20 18:28:37
Body warping;-0,0271622;0,8414503;0,1285634;0,15;2021-08-20 18:28:37
Body warping;-0,0271622;0,8414503;0,1285634;0,15;2021-08-20 18:28:37
Body warping;-0,009862931;0,8380188;0,1486494;0,15;2021-08-20 18:28:37
Body warping;-0,009862931;0,8380188;0,1486494;0,15;2021-08-20 18:28:37
Body warping;0,004107349;0,8367565;0,1640107;0,15;2021-08-20 18:28:37
Body warping;0,006966617;0,8387662;0,1698478;0,15;2021-08-20 18:28:37
Body warping;0,006966617;0,8387662;0,1698478;0,15;2021-08-20 18:28:37
Body warping;0,01047905;0,8414214;0,176628;0,15;2021-08-20 18:28:37
Body warping;0,01650002;0,84026;0,1870218;0,15;2021-08-20 18:28:37
Body warping;0,02359782;0,8380389;0,1977855;0,15;2021-08-20 18:28:38
Body warping;0,03097395;0,8358779;0,2086554;0,15;2021-08-20 18:28:38
Body warping;0,03751516;0,8318863;0,2178409;0,15;2021-08-20 18:28:38
Body warping;0,04423922;0,8280362;0,2271627;0,15;2021-08-20 18:28:38
Body warping;0,04893864;0,8283256;0,2300451;0,15;2021-08-20 18:28:38
Body warping;0,05519005;0,8251106;0,2360701;0,15;2021-08-20 18:28:38
Body warping;0,06155659;0,8218915;0,2423805;0,15;2021-08-20 18:28:38
Body warping;0,06810243;0,816914;0,247617;0,15;2021-08-20 18:28:38
Body warping;0,0720524;0,8145377;0,2504143;0,15;2021-08-20 18:28:38
Body warping;0,07618907;0,8121212;0,2535385;0,15;2021-08-20 18:28:38
Body warping;0,07618907;0,8121212;0,2535385;0,15;2021-08-20 18:28:38
Body warping;0,07467948;0,8132585;0,2545696;0,15;2021-08-20 18:28:38
Body warping;0,07409621;0,8138152;0,2560726;0,15;2021-08-20 18:28:38
Body warping;0,07695253;0,8119667;0,2589845;0,15;2021-08-20 18:28:38
Body warping;0,07797544;0,8107269;0,2606252;0,15;2021-08-20 18:28:38
Body warping;0,07952509;0,8091303;0,2630648;0,15;2021-08-20 18:28:38
Body warping;0,07956935;0,8109724;0,2631141;0,15;2021-08-20 18:28:38
Body warping;0,07541409;0,8154665;0,2609524;0,15;2021-08-20 18:28:38
Body warping;0,07163396;0,8196008;0,2591318;0,15;2021-08-20 18:28:38
Body warping;0,07250196;0,8144427;0,2648798;0,15;2021-08-20 18:28:38
Body warping;0,07318906;0,809865;0,2701781;0,15;2021-08-20 18:28:38
Body warping;0,06978361;0,8113798;0,269031;0,15;2021-08-20 18:28:38
Body warping;0,06740137;0,8118371;0,270387;0,15;2021-08-20 18:28:38
Body warping;0,06518546;0,8121356;0,2718716;0,15;2021-08-20 18:28:38
Body warping;0,06667237;0,800396;0,2833959;0,15;2021-08-20 18:28:38
Body warping;0,06127684;0,7960978;0,2888065;0,15;2021-08-20 18:28:38
Body warping;0,05622932;0,7920951;0,2939593;0,15;2021-08-20 18:28:38
Body warping;0,05622932;0,7920951;0,2939593;0,15;2021-08-20 18:28:38
Body warping;0,04501052;0,7959552;0,2951793;0,15;2021-08-20 18:28:38
Body warping;0,0404923;0,8004969;0,292764;0,15;2021-08-20 18:28:38
Body warping;0,03828111;0,8032479;0,2922886;0,15;2021-08-20 18:28:38
Body warping;0,03828111;0,8032479;0,2922886;0,15;2021-08-20 18:28:38
Body warping;0,03583859;0,8057008;0,2920911;0,15;2021-08-20 18:28:38
Body warping;0,0370604;0,8034786;0,2963194;0,15;2021-08-20 18:28:38
Body warping;0,03787522;0,8014975;0,3002289;0,15;2021-08-20 18:28:38
Body warping;0,03787522;0,8014975;0,3002289;0,15;2021-08-20 18:28:38
Body warping;0,04471684;0,7901431;0,312616;0,15;2021-08-20 18:28:38
Body warping;0,04382252;0,7897683;0,3135405;0,15;2021-08-20 18:28:38
Body warping;0,04382252;0,7897683;0,3135405;0,15;2021-08-20 18:28:38
Body warping;0,04401409;0,7917308;0,31392;0,15;2021-08-20 18:28:38
Body warping;0,0442358;0,7933376;0,3145626;0,15;2021-08-20 18:28:38
Body warping;0,0455729;0,7943559;0,3148048;0,15;2021-08-20 18:28:38
Body warping;0,04696413;0,7943559;0,3149076;0,15;2021-08-20 18:28:38
Body warping;0,0482762;0,7943155;0,3151746;0,15;2021-08-20 18:28:38
Body warping;0,0482762;0,7943155;0,3151746;0,15;2021-08-20 18:28:38
Body warping;0,04914119;0,7935212;0,3151519;0,15;2021-08-20 18:28:38
Body warping;0,04876158;0,7927297;0,3159735;0,15;2021-08-20 18:28:38
Body warping;0,04839716;0,7915218;0,317309;0,15;2021-08-20 18:28:38
