Condition;X;Y;Z;Displacement;Time stamp
Body warping;0.1342696;0.6292484;0.07589982;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1326147;0.6303874;0.08169966;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1326147;0.6303874;0.08169966;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1288533;0.6318617;0.09094772;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1288533;0.6318617;0.09094772;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1253532;0.6325966;0.09732203;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.12171;0.6323113;0.1015763;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.12171;0.6323113;0.1015763;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1194047;0.6327091;0.1052114;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1194047;0.6327091;0.1052114;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1158278;0.6333443;0.1109631;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.114698;0.6338138;0.1151606;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.114637;0.6348069;0.1189338;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1146697;0.6356891;0.1222394;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1146697;0.6356891;0.1222394;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1152008;0.6356201;0.121444;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1152008;0.6356201;0.121444;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1146768;0.6355767;0.1224026;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1118281;0.6351892;0.1261471;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1085764;0.6340621;0.1282897;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1060296;0.6330345;0.1296356;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1060296;0.6330345;0.1296356;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1042642;0.6325393;0.1311088;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1042642;0.6325393;0.1311088;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1026456;0.6319448;0.1323978;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1012948;0.6311148;0.1333138;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1003919;0.6305492;0.133619;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09942956;0.6299899;0.1340201;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09942956;0.6299899;0.1340201;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09893775;0.6292246;0.1330848;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09893775;0.6292246;0.1330848;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09849483;0.6285052;0.1321966;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.0982169;0.6278609;0.1312425;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09791511;0.6275767;0.1307446;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09866268;0.6279065;0.1307295;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09866268;0.6279065;0.1307295;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09968032;0.6282915;0.1308266;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09983914;0.6283455;0.1308717;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09983914;0.6283455;0.1308717;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1014086;0.6289935;0.1308136;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1028784;0.6300324;0.1322957;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.104301;0.6310095;0.1336612;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.104301;0.6310095;0.1336612;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1026903;0.6323485;0.1343597;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1014639;0.6324658;0.1336015;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.1014639;0.6324658;0.1336015;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09975579;0.6328307;0.1326733;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09834108;0.6317108;0.1329733;0.02999997;12/2/2020 11:50:36 AM
Body warping;0.09792562;0.6313048;0.1330233;0.02999997;12/2/2020 11:50:37 AM
Body warping;0.09804693;0.6313782;0.1333022;0.02999997;12/2/2020 11:50:37 AM
