Condition;X;Y;Z;Displacement;Time stamp
Body warping;0.08531962;0.7005351;0.07525928;0.03;12/2/2020 9:42:44 AM
Body warping;0.08159495;0.7047594;0.08082803;0.03;12/2/2020 9:42:44 AM
Body warping;0.07020266;0.7168995;0.09163792;0.03;12/2/2020 9:42:44 AM
Body warping;0.06240474;0.7224498;0.1061862;0.03;12/2/2020 9:42:44 AM
Body warping;0.05962606;0.7245356;0.11136;0.03;12/2/2020 9:42:44 AM
Body warping;0.05502791;0.7272277;0.117072;0.03;12/2/2020 9:42:44 AM
Body warping;0.0466098;0.7323169;0.127888;0.03;12/2/2020 9:42:44 AM
Body warping;0.04392839;0.7316888;0.1334943;0.03;12/2/2020 9:42:44 AM
Body warping;0.04120753;0.7313375;0.1390375;0.03;12/2/2020 9:42:44 AM
Body warping;0.03426954;0.7375601;0.1484638;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.03216679;0.7814039;0.1976568;0.03;12/2/2020 9:42:45 AM
Body warping;-0.02732543;0.7727696;0.2227304;0.03;12/2/2020 9:42:45 AM
Body warping;-0.02732543;0.7727696;0.2227304;0.03;12/2/2020 9:42:45 AM
Body warping;-0.02732543;0.7727696;0.2227304;0.03;12/2/2020 9:42:45 AM
Body warping;-0.02732543;0.7727696;0.2227304;0.03;12/2/2020 9:42:45 AM
Body warping;-0.02732543;0.7727696;0.2227304;0.03;12/2/2020 9:42:45 AM
Body warping;-0.02479308;0.7713861;0.2374951;0.03;12/2/2020 9:42:45 AM
Body warping;-0.02049752;0.7729415;0.2456286;0.03;12/2/2020 9:42:45 AM
Body warping;-0.01925862;0.7735839;0.2473984;0.03;12/2/2020 9:42:45 AM
Body warping;-0.01925862;0.7735839;0.2473984;0.03;12/2/2020 9:42:45 AM
Body warping;-0.01463415;0.7735056;0.251837;0.03;12/2/2020 9:42:45 AM
Body warping;-0.0117593;0.7730455;0.2542356;0.03;12/2/2020 9:42:45 AM
Body warping;-0.0117593;0.7730455;0.2542356;0.03;12/2/2020 9:42:45 AM
Body warping;-0.005056252;0.7730336;0.2585303;0.03;12/2/2020 9:42:45 AM
Body warping;-0.002762407;0.7740312;0.2599714;0.03;12/2/2020 9:42:45 AM
Body warping;0.002008477;0.7758361;0.2635176;0.03;12/2/2020 9:42:45 AM
Body warping;0.004120726;0.77799;0.2649357;0.03;12/2/2020 9:42:45 AM
Body warping;0.004120726;0.77799;0.2649357;0.03;12/2/2020 9:42:45 AM
Body warping;0.008597446;0.7816307;0.2676551;0.03;12/2/2020 9:42:45 AM
Body warping;0.01088864;0.783339;0.2691654;0.03;12/2/2020 9:42:45 AM
Body warping;0.01320589;0.7849929;0.2707489;0.03;12/2/2020 9:42:45 AM
Body warping;0.02034843;0.7823216;0.2783749;0.03;12/2/2020 9:42:45 AM
Body warping;0.02656024;0.7802528;0.2864559;0.03;12/2/2020 9:42:45 AM
Body warping;0.02925842;0.7794445;0.2907293;0.03;12/2/2020 9:42:45 AM
Body warping;0.03387811;0.7793445;0.2965533;0.03;12/2/2020 9:42:45 AM
Body warping;0.03666067;0.7792996;0.2999944;0.03;12/2/2020 9:42:45 AM
Body warping;0.03935656;0.7792597;0.3033119;0.03;12/2/2020 9:42:45 AM
Body warping;0.04203898;0.7806616;0.3087422;0.03;12/2/2020 9:42:45 AM
Body warping;0.04084877;0.7817884;0.3092481;0.03;12/2/2020 9:42:45 AM
Body warping;0.03894094;0.7838454;0.3104717;0.03;12/2/2020 9:42:45 AM
Body warping;0.03815896;0.7848023;0.3111606;0.03;12/2/2020 9:42:45 AM
Body warping;0.03561286;0.7845626;0.3126545;0.03;12/2/2020 9:42:45 AM
Body warping;0.03474228;0.7840438;0.3131785;0.03;12/2/2020 9:42:45 AM
Body warping;0.03393037;0.7836015;0.3137369;0.03;12/2/2020 9:42:45 AM
Body warping;0.03380459;0.782825;0.3142097;0.03;12/2/2020 9:42:45 AM
Body warping;0.0337384;0.7825001;0.3144999;0.03;12/2/2020 9:42:45 AM
Body warping;0.0342155;0.7819557;0.3157779;0.03;12/2/2020 9:42:46 AM
Body warping;0.03471097;0.781723;0.3167066;0.03;12/2/2020 9:42:46 AM
Body warping;0.03515701;0.7811368;0.3184215;0.03;12/2/2020 9:42:46 AM
Body warping;0.03535826;0.7808641;0.3192552;0.03;12/2/2020 9:42:46 AM
Body warping;0.03504685;0.7801598;0.321279;0.03;12/2/2020 9:42:46 AM
Body warping;0.03459508;0.7797402;0.322441;0.03;12/2/2020 9:42:46 AM
Body warping;0.03405109;0.7790029;0.3230011;0.03;12/2/2020 9:42:46 AM
Body warping;0.03304374;0.7775782;0.3242129;0.03;12/2/2020 9:42:46 AM
Body warping;0.03237328;0.7769858;0.3246002;0.03;12/2/2020 9:42:46 AM
Body warping;0.03114378;0.7758517;0.3254212;0.03;12/2/2020 9:42:46 AM
Body warping;0.03060015;0.7753352;0.325819;0.03;12/2/2020 9:42:46 AM
Body warping;0.03023604;0.7737806;0.3259849;0.03;12/2/2020 9:42:46 AM
Body warping;0.03007473;0.772835;0.3256791;0.03;12/2/2020 9:42:46 AM
Body warping;0.02989717;0.7719262;0.3254345;0.03;12/2/2020 9:42:46 AM
Body warping;0.02996564;0.7703962;0.3248952;0.03;12/2/2020 9:42:46 AM
Body warping;0.02995344;0.7689171;0.3244966;0.03;12/2/2020 9:42:46 AM
Body warping;0.03005404;0.7682528;0.3242472;0.03;12/2/2020 9:42:46 AM
Body warping;0.03013413;0.7675893;0.324022;0.03;12/2/2020 9:42:46 AM
Body warping;0.03018954;0.7665992;0.3232826;0.03;12/2/2020 9:42:46 AM
Body warping;0.03020492;0.7661317;0.3229679;0.03;12/2/2020 9:42:46 AM
Body warping;0.03019714;0.7654113;0.3224057;0.03;12/2/2020 9:42:46 AM
Body warping;0.0301782;0.7651429;0.3221507;0.03;12/2/2020 9:42:46 AM
Body warping;0.03010591;0.7651907;0.3221088;0.03000018;12/2/2020 9:42:46 AM
Body warping;0.02996625;0.7651685;0.3219952;0.03000125;12/2/2020 9:42:46 AM
Body warping;0.02989599;0.7651095;0.3219245;0.0300034;12/2/2020 9:42:46 AM
Body warping;0.03032826;0.7643703;0.3216382;0.03000498;12/2/2020 9:42:46 AM
Body warping;0.03029225;0.7640665;0.3216946;0.03000664;12/2/2020 9:42:46 AM
Body warping;0.03022151;0.7634676;0.3217712;0.03000854;12/2/2020 9:42:46 AM
Body warping;0.03009431;0.76333;0.321801;0.03000948;12/2/2020 9:42:46 AM
Body warping;0.02997442;0.7631817;0.321824;0.03000952;12/2/2020 9:42:46 AM
Body warping;0.02954855;0.7629905;0.3218527;0.03000942;12/2/2020 9:42:46 AM
Body warping;0.02923203;0.7628328;0.3218344;0.0300093;12/2/2020 9:42:46 AM
Body warping;0.02920442;0.7627183;0.3218084;0.03001007;12/2/2020 9:42:46 AM
Body warping;0.02917418;0.7625984;0.3217823;0.03001244;12/2/2020 9:42:46 AM
Body warping;0.02925238;0.7627856;0.321495;0.0300163;12/2/2020 9:42:46 AM
Body warping;0.02928326;0.7628563;0.3213613;0.03001267;12/2/2020 9:42:46 AM
Body warping;0.02924362;0.7629495;0.3210107;0.03000762;12/2/2020 9:42:46 AM
Body warping;0.02918259;0.7629775;0.3208014;0.03000411;12/2/2020 9:42:46 AM
Body warping;0.02926158;0.76267;0.3201437;0.03000188;12/2/2020 9:42:46 AM
Body warping;0.02929608;0.7625295;0.3198382;0.03000063;12/2/2020 9:42:46 AM
Body warping;0.02932725;0.7623995;0.3195533;0.03000009;12/2/2020 9:42:46 AM
Body warping;0.02897431;0.7616187;0.3180855;0.03000001;12/2/2020 9:42:46 AM
Body warping;0.02871304;0.7613907;0.3176384;0.03000018;12/2/2020 9:42:46 AM
Body warping;0.02824639;0.7609586;0.3167841;0.03000045;12/2/2020 9:42:46 AM
Body warping;0.02825596;0.7610108;0.3170082;0.03000071;12/2/2020 9:42:46 AM
Body warping;0.02825732;0.7610461;0.3171877;0.03000092;12/2/2020 9:42:46 AM
Body warping;0.02828777;0.7612429;0.3179454;0.03000105;12/2/2020 9:42:46 AM
Body warping;0.02829449;0.7613209;0.3182675;0.03000108;12/2/2020 9:42:46 AM
Body warping;0.02761788;0.7612084;0.3182353;0.03000104;12/2/2020 9:42:46 AM
Body warping;0.02699106;0.7610413;0.3179414;0.03000095;12/2/2020 9:42:46 AM
Body warping;0.02523619;0.7615318;0.3173721;0.03000081;12/2/2020 9:42:47 AM
Body warping;0.02442699;0.7617542;0.3171161;0.03000067;12/2/2020 9:42:47 AM
Body warping;0.02358744;0.7634988;0.3174105;0.03000052;12/2/2020 9:42:47 AM
Body warping;0.0234876;0.7649049;0.3178882;0.03000038;12/2/2020 9:42:47 AM
Body warping;0.02480167;0.7672276;0.3192894;0.03000027;12/2/2020 9:42:47 AM
Body warping;0.02535016;0.7682977;0.3199143;0.03000018;12/2/2020 9:42:47 AM
Body warping;0.02583488;0.7692912;0.3204856;0.03000011;12/2/2020 9:42:47 AM
