Condition;X;Y;Z;Displacement;Time stamp
Change Blindness;0.1536609;1.012013;0.0772661;0;12/1/2020 10:15:24 AM
Change Blindness;0.1490965;1.010582;0.08025814;0;12/1/2020 10:15:24 AM
Change Blindness;0.1350117;1.005838;0.08320932;0;12/1/2020 10:15:24 AM
Change Blindness;0.1226095;1.001114;0.0878588;0;12/1/2020 10:15:24 AM
Change Blindness;0.1152012;0.9972492;0.09200974;0;12/1/2020 10:15:24 AM
Change Blindness;0.1013205;0.98987;0.1005631;0;12/1/2020 10:15:24 AM
Change Blindness;0.09540605;0.9866925;0.104393;0;12/1/2020 10:15:24 AM
Change Blindness;0.08864271;0.9817795;0.1078252;0;12/1/2020 10:15:24 AM
Change Blindness;0.0772551;0.9751827;0.111954;0;12/1/2020 10:15:24 AM
Change Blindness;0.07242237;0.9731954;0.1128675;0;12/1/2020 10:15:24 AM
Change Blindness;0.06403263;0.9696323;0.114845;0;12/1/2020 10:15:24 AM
Change Blindness;0.06248178;0.9671127;0.1179134;0;12/1/2020 10:15:24 AM
Change Blindness;0.06056628;0.9645618;0.1209877;0;12/1/2020 10:15:24 AM
Change Blindness;0.05809778;0.9661437;0.1197113;0;12/1/2020 10:15:24 AM
Change Blindness;0.05645768;0.9665518;0.119472;0;12/1/2020 10:15:24 AM
Change Blindness;0.0577888;0.9672133;0.1192015;0;12/1/2020 10:15:24 AM
Change Blindness;0.05797513;0.9673375;0.119279;0;12/1/2020 10:15:24 AM
Change Blindness;0.05799985;0.9702656;0.1203691;0;12/1/2020 10:15:24 AM
Change Blindness;0.05776154;0.9714634;0.1209818;0;12/1/2020 10:15:24 AM
Change Blindness;0.05862277;0.9716794;0.1230714;0;12/1/2020 10:15:24 AM
Change Blindness;0.06084826;0.974035;0.1265051;0;12/1/2020 10:15:24 AM
Change Blindness;0.06222026;0.9760566;0.1279138;0;12/1/2020 10:15:24 AM
Change Blindness;0.0645446;0.9797826;0.1306858;0;12/1/2020 10:15:24 AM
Change Blindness;0.06655664;0.9818944;0.1340014;0;12/1/2020 10:15:24 AM
Change Blindness;0.0694361;0.9843357;0.1377921;0;12/1/2020 10:15:24 AM
Change Blindness;0.07041778;0.9848151;0.1385121;0;12/1/2020 10:15:24 AM
Change Blindness;0.07223191;0.9858591;0.1400322;0;12/1/2020 10:15:24 AM
Change Blindness;0.07284415;0.9850261;0.1386661;0;12/1/2020 10:15:25 AM
Change Blindness;0.07345959;0.9843428;0.1375228;0;12/1/2020 10:15:25 AM
Change Blindness;0.07306974;0.9832845;0.1380413;0;12/1/2020 10:15:25 AM
Change Blindness;0.0729124;0.9831979;0.1379507;0;12/1/2020 10:15:25 AM
Change Blindness;0.07272578;0.9831319;0.1379132;0;12/1/2020 10:15:25 AM
Change Blindness;0.0726791;0.983138;0.1379466;0;12/1/2020 10:15:25 AM
Change Blindness;0.07357355;0.9841349;0.1377368;0;12/1/2020 10:15:25 AM
Change Blindness;0.07397351;0.98458;0.1376747;0;12/1/2020 10:15:25 AM
Change Blindness;0.07487766;0.9865537;0.137037;0;12/1/2020 10:15:25 AM
Change Blindness;0.07531229;0.9874678;0.1367719;0;12/1/2020 10:15:25 AM
Change Blindness;0.07618459;0.9891385;0.134567;0;12/1/2020 10:15:25 AM
Change Blindness;0.0778072;0.9922196;0.1306698;0;12/1/2020 10:15:25 AM
Change Blindness;0.07910933;0.9960039;0.1256801;0;12/1/2020 10:15:25 AM
Change Blindness;0.08440696;1.003961;0.1168825;0;12/1/2020 10:15:25 AM
Change Blindness;0.08821192;1.008148;0.112922;0;12/1/2020 10:15:25 AM
Change Blindness;0.09513739;1.015853;0.1056323;0;12/1/2020 10:15:25 AM
Change Blindness;0.09771772;1.023254;0.09842566;0;12/1/2020 10:15:25 AM
Change Blindness;0.1028128;1.039306;0.08172578;0;12/1/2020 10:15:25 AM
Change Blindness;0.1053385;1.04793;0.07234381;0;12/1/2020 10:15:25 AM
Change Blindness;-0.2115221;1.290715;0.08183324;0;12/1/2020 10:15:49 AM
Change Blindness;-0.2115221;1.290715;0.08183324;0;12/1/2020 10:15:49 AM
Change Blindness;-0.2585624;1.221618;0.1730312;0;12/1/2020 10:15:49 AM
Change Blindness;-0.2585624;1.221618;0.1730312;0;12/1/2020 10:15:49 AM
Change Blindness;-0.2614437;1.201674;0.09712175;0;12/1/2020 10:15:50 AM
Change Blindness;-0.2614437;1.201674;0.09712175;0;12/1/2020 10:15:50 AM
Change Blindness;-0.2138637;1.207287;0.07969236;0;12/1/2020 10:15:50 AM
Change Blindness;-0.06248282;1.211439;-0.02374357;0;12/1/2020 10:15:50 AM
Change Blindness;0.4292015;1.031948;0.1333651;0;12/1/2020 10:15:56 AM
Change Blindness;-0.05694509;1.22304;0.01016584;0;12/1/2020 10:15:56 AM
Change Blindness;0.07467441;0.8696797;0.0722945;0;12/1/2020 10:16:07 AM
Change Blindness;0.07707738;0.8687654;0.07401738;0;12/1/2020 10:16:07 AM
Change Blindness;0.08184182;0.8665808;0.07761989;0;12/1/2020 10:16:07 AM
Change Blindness;0.07781819;0.8720416;0.07624082;0;12/1/2020 10:16:07 AM
Change Blindness;0.07621523;0.8743109;0.0758315;0;12/1/2020 10:16:07 AM
Change Blindness;0.07827232;0.8762355;0.0753258;0;12/1/2020 10:16:07 AM
Change Blindness;0.07942576;0.8771652;0.07524808;0;12/1/2020 10:16:07 AM
Change Blindness;0.09224545;0.8657617;0.08194154;0;12/1/2020 10:16:07 AM
Change Blindness;0.09790068;0.8608149;0.08491307;0;12/1/2020 10:16:07 AM
Change Blindness;0.09938624;0.857733;0.08758751;0;12/1/2020 10:16:07 AM
Change Blindness;0.1014569;0.8547863;0.08917394;0;12/1/2020 10:16:07 AM
Change Blindness;0.1020964;0.8546532;0.08839488;0;12/1/2020 10:16:07 AM
Change Blindness;0.1036175;0.8541159;0.08726443;0;12/1/2020 10:16:07 AM
Change Blindness;0.1055611;0.8507857;0.08630387;0;12/1/2020 10:16:07 AM
Change Blindness;0.1081641;0.8438973;0.08507593;0;12/1/2020 10:16:07 AM
Change Blindness;0.1089346;0.8403237;0.08473289;0;12/1/2020 10:16:07 AM
Change Blindness;0.110505;0.8339594;0.08417609;0;12/1/2020 10:16:07 AM
Change Blindness;0.1114836;0.8310704;0.08401079;0;12/1/2020 10:16:07 AM
Change Blindness;0.1123411;0.8285796;0.08387158;0;12/1/2020 10:16:07 AM
Change Blindness;0.1174207;0.8230376;0.08106586;0;12/1/2020 10:16:07 AM
Change Blindness;0.11984;0.8202657;0.07979643;0;12/1/2020 10:16:07 AM
Change Blindness;0.1242793;0.8195041;0.07451861;0;12/1/2020 10:16:07 AM
Change Blindness;0.1264513;0.8188769;0.07209618;0;12/1/2020 10:16:07 AM
Change Blindness;0.2109609;0.65219;0.07226147;0;12/1/2020 10:16:09 AM
Change Blindness;0.2124573;0.6533644;0.07397725;0;12/1/2020 10:16:09 AM
Change Blindness;0.2157345;0.6591245;0.0772446;0;12/1/2020 10:16:09 AM
Change Blindness;0.2173704;0.6617712;0.07899521;0;12/1/2020 10:16:09 AM
Change Blindness;0.2190851;0.665929;0.08031001;0;12/1/2020 10:16:09 AM
Change Blindness;0.2233747;0.6793096;0.08332726;0;12/1/2020 10:16:09 AM
Change Blindness;0.2246723;0.6837082;0.08423965;0;12/1/2020 10:16:09 AM
Change Blindness;0.2259091;0.687785;0.08514334;0;12/1/2020 10:16:09 AM
Change Blindness;0.2271605;0.6963521;0.08684964;0;12/1/2020 10:16:09 AM
Change Blindness;0.2278007;0.7002136;0.08768076;0;12/1/2020 10:16:09 AM
Change Blindness;0.2246242;0.7067932;0.08993734;0;12/1/2020 10:16:09 AM
Change Blindness;0.2234154;0.7097758;0.09095683;0;12/1/2020 10:16:09 AM
Change Blindness;0.2195104;0.7115268;0.08826154;0;12/1/2020 10:16:09 AM
Change Blindness;0.2130516;0.7151315;0.08399961;0;12/1/2020 10:16:09 AM
Change Blindness;0.209918;0.7165672;0.07990135;0;12/1/2020 10:16:09 AM
Change Blindness;0.2069362;0.7146366;0.07408498;0;12/1/2020 10:16:09 AM
Change Blindness;0.2067676;0.7116438;0.07208087;0;12/1/2020 10:16:10 AM
Change Blindness;0.2010979;0.6659424;0.07333735;0;12/1/2020 10:16:10 AM
Change Blindness;0.2027894;0.6579609;0.07636806;0;12/1/2020 10:16:10 AM
Change Blindness;0.2043658;0.6502799;0.07921816;0;12/1/2020 10:16:10 AM
Change Blindness;0.2034342;0.6493198;0.07914038;0;12/1/2020 10:16:10 AM
Change Blindness;0.2022509;0.6476808;0.07902784;0;12/1/2020 10:16:10 AM
Change Blindness;0.2019127;0.6469142;0.07899212;0;12/1/2020 10:16:10 AM
Change Blindness;0.2013679;0.6447141;0.07912558;0;12/1/2020 10:16:10 AM
Change Blindness;0.2018741;0.6432333;0.0774036;0;12/1/2020 10:16:10 AM
Change Blindness;0.2027816;0.6399779;0.07449143;0;12/1/2020 10:16:10 AM
Change Blindness;0.2037404;0.6383477;0.07294501;0;12/1/2020 10:16:10 AM
Change Blindness;0.2067732;0.6407924;0.07178583;0;12/1/2020 10:16:10 AM
Change Blindness;0.2069259;0.641331;0.07272168;0;12/1/2020 10:16:10 AM
Change Blindness;0.2064999;0.6398882;0.07181295;0;12/1/2020 10:16:10 AM
Change Blindness;0.1369129;0.7888069;0.07407089;0;12/1/2020 10:16:10 AM
Change Blindness;0.1332659;0.796708;0.0764709;0;12/1/2020 10:16:10 AM
Change Blindness;0.1282433;0.80434;0.07956816;0;12/1/2020 10:16:11 AM
Change Blindness;0.1257842;0.8082407;0.081139;0;12/1/2020 10:16:11 AM
Change Blindness;0.1219135;0.8120049;0.08209558;0;12/1/2020 10:16:11 AM
Change Blindness;0.1199504;0.814155;0.08270553;0;12/1/2020 10:16:11 AM
Change Blindness;0.1185872;0.8120066;0.08503819;0;12/1/2020 10:16:11 AM
Change Blindness;0.1178091;0.811413;0.08615381;0;12/1/2020 10:16:11 AM
Change Blindness;0.1177019;0.8103508;0.08687308;0;12/1/2020 10:16:11 AM
Change Blindness;0.1174646;0.8101081;0.0873372;0;12/1/2020 10:16:11 AM
Change Blindness;0.1161504;0.812512;0.08785075;0;12/1/2020 10:16:11 AM
Change Blindness;0.1150831;0.8149309;0.08801372;0;12/1/2020 10:16:11 AM
Change Blindness;0.1163485;0.8141401;0.09362488;0;12/1/2020 10:16:11 AM
Change Blindness;0.1177988;0.8123013;0.09542574;0;12/1/2020 10:16:11 AM
Change Blindness;0.119111;0.8106267;0.09718099;0;12/1/2020 10:16:11 AM
Change Blindness;0.1214321;0.8076376;0.1005917;0;12/1/2020 10:16:11 AM
Change Blindness;0.1215408;0.8085366;0.09618897;0;12/1/2020 10:16:11 AM
Change Blindness;0.1213795;0.8106592;0.08932266;0;12/1/2020 10:16:11 AM
Change Blindness;0.1211281;0.8118869;0.08664463;0;12/1/2020 10:16:11 AM
Change Blindness;0.1207129;0.8140991;0.08182796;0;12/1/2020 10:16:11 AM
Change Blindness;0.1206929;0.8149471;0.08185712;0;12/1/2020 10:16:11 AM
Change Blindness;0.1200788;0.8154051;0.08189336;0;12/1/2020 10:16:11 AM
Change Blindness;0.1195271;0.8151039;0.08192249;0;12/1/2020 10:16:11 AM
Change Blindness;0.1190109;0.81485;0.08189727;0;12/1/2020 10:16:11 AM
Change Blindness;0.1180392;0.8139598;0.082698;0;12/1/2020 10:16:11 AM
Change Blindness;0.1175825;0.8135775;0.08300497;0;12/1/2020 10:16:11 AM
Change Blindness;0.1167606;0.8181236;0.08617271;0;12/1/2020 10:16:11 AM
Change Blindness;0.1163611;0.8201507;0.08756919;0;12/1/2020 10:16:11 AM
Change Blindness;0.1148448;0.8248571;0.08848247;0;12/1/2020 10:16:11 AM
Change Blindness;0.1147635;0.8251868;0.08847356;0;12/1/2020 10:16:11 AM
Change Blindness;0.1124835;0.8300963;0.08784206;0;12/1/2020 10:16:11 AM
