Condition;X;Y;Z;Displacement;Time stamp
Body warping;0.1756971;0.755246;0.08436642;0;12/2/2020 11:32:00 AM
Body warping;0.1756971;0.755246;0.08436642;0;12/2/2020 11:32:00 AM
Body warping;0.2025225;0.7794148;0.1173813;0;12/2/2020 11:32:00 AM
Body warping;0.2025225;0.7794148;0.1173813;0;12/2/2020 11:32:00 AM
Body warping;0.2363747;0.8080018;0.1690158;0;12/2/2020 11:32:00 AM
Body warping;0.2363747;0.8080018;0.1690158;0;12/2/2020 11:32:00 AM
Body warping;0.2515329;0.8209482;0.1920603;0;12/2/2020 11:32:00 AM
Body warping;0.2515329;0.8209482;0.1920603;0;12/2/2020 11:32:00 AM
Body warping;0.267095;0.8329608;0.215948;0;12/2/2020 11:32:00 AM
Body warping;0.2811969;0.8342473;0.2352619;0;12/2/2020 11:32:00 AM
Body warping;0.2811969;0.8342473;0.2352619;0;12/2/2020 11:32:00 AM
Body warping;0.2970518;0.8215506;0.2565225;0;12/2/2020 11:32:00 AM
Body warping;0.2970518;0.8215506;0.2565225;0;12/2/2020 11:32:00 AM
Body warping;0.3091249;0.8116865;0.2727411;0;12/2/2020 11:32:00 AM
Body warping;0.3148936;0.8042742;0.2803301;0;12/2/2020 11:32:00 AM
Body warping;0.3124397;0.8037919;0.2785566;0;12/2/2020 11:32:00 AM
Body warping;0.3124397;0.8037919;0.2785566;0;12/2/2020 11:32:00 AM
Body warping;0.3106677;0.8036239;0.2791093;0;12/2/2020 11:32:00 AM
Body warping;0.3103001;0.8035257;0.2816833;0;12/2/2020 11:32:00 AM
Body warping;0.3072754;0.806208;0.2804551;0;12/2/2020 11:32:00 AM
Body warping;0.3072754;0.806208;0.2804551;0;12/2/2020 11:32:00 AM
Body warping;0.3055372;0.806476;0.2814287;0;12/2/2020 11:32:00 AM
Body warping;0.3042552;0.8066755;0.2830634;0;12/2/2020 11:32:00 AM
Body warping;0.3042552;0.8066755;0.2830634;0;12/2/2020 11:32:00 AM
Body warping;0.3024857;0.8048826;0.2857429;0;12/2/2020 11:32:00 AM
Body warping;0.3015794;0.8034873;0.2866957;0;12/2/2020 11:32:00 AM
Body warping;0.3007365;0.8020151;0.2880243;0;12/2/2020 11:32:00 AM
Body warping;0.3007365;0.8020151;0.2880243;0;12/2/2020 11:32:00 AM
Body warping;0.3005632;0.799773;0.2905223;0;12/2/2020 11:32:00 AM
Body warping;0.3017008;0.7987892;0.2914535;0;12/2/2020 11:32:00 AM
Body warping;0.3029098;0.7975504;0.2920384;0;12/2/2020 11:32:00 AM
Body warping;0.3029098;0.7975504;0.2920384;0;12/2/2020 11:32:00 AM
Body warping;0.3047897;0.7953894;0.2932821;0;12/2/2020 11:32:00 AM
Body warping;0.3047897;0.7953894;0.2932821;0;12/2/2020 11:32:00 AM
Body warping;0.305175;0.7937547;0.2945293;0;12/2/2020 11:32:00 AM
Body warping;0.30532;0.7936073;0.2945247;0;12/2/2020 11:32:00 AM
Body warping;0.3057756;0.7938189;0.2941409;0;12/2/2020 11:32:00 AM
Body warping;0.3062947;0.7938786;0.2938863;0;12/2/2020 11:32:01 AM
Body warping;0.3062947;0.7938786;0.2938863;0;12/2/2020 11:32:01 AM
Body warping;0.306922;0.7945792;0.2938452;0;12/2/2020 11:32:01 AM
Body warping;0.3074121;0.7951466;0.2939073;0;12/2/2020 11:32:01 AM
Body warping;0.3074121;0.7951466;0.2939073;0;12/2/2020 11:32:01 AM
Body warping;0.3075829;0.7955539;0.2941445;0;12/2/2020 11:32:01 AM
Body warping;0.3076358;0.7960321;0.2945945;0;12/2/2020 11:32:01 AM
Body warping;0.3069675;0.7963957;0.2952358;0;12/2/2020 11:32:01 AM
Body warping;0.3069675;0.7963957;0.2952358;0;12/2/2020 11:32:01 AM
Body warping;0.3058235;0.7970296;0.296499;0;12/2/2020 11:32:01 AM
Body warping;0.3056082;0.7971468;0.2967578;0;12/2/2020 11:32:01 AM
Body warping;0.3045923;0.7971474;0.2975467;0;12/2/2020 11:32:01 AM
Body warping;0.3045923;0.7971474;0.2975467;0;12/2/2020 11:32:01 AM
Body warping;0.303392;0.7972064;0.2988973;0;12/2/2020 11:32:01 AM
Body warping;0.303392;0.7972064;0.2988973;0;12/2/2020 11:32:01 AM
Body warping;0.3032797;0.7972269;0.2991381;0;12/2/2020 11:32:01 AM
Body warping;0.3027329;0.7972713;0.299894;0;12/2/2020 11:32:01 AM
Body warping;0.3019085;0.7972581;0.3004516;0;12/2/2020 11:32:01 AM
Body warping;0.3006693;0.796872;0.30148;0;12/2/2020 11:32:01 AM
Body warping;0.3006693;0.796872;0.30148;0;12/2/2020 11:32:01 AM
Body warping;0.2996261;0.7965024;0.3021224;0;12/2/2020 11:32:01 AM
Body warping;0.2986191;0.7961613;0.3027614;0;12/2/2020 11:32:01 AM
Body warping;0.2984347;0.7960346;0.3032567;0;12/2/2020 11:32:01 AM
Body warping;0.2984347;0.7960346;0.3032567;0;12/2/2020 11:32:01 AM
