Condition;X;Y;Z;Displacement;Time stamp
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;0;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:18 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:19 PM
Change Blindness;0.1333813;0.1593828;0.1034523;1.192093E-07;7/17/2021 3:57:19 PM
Change Blindness;0.09602606;-1.289535;0.4958854;1.192093E-07;7/17/2021 3:57:19 PM
Change Blindness;0.09602606;-1.289535;0.4958854;1.192093E-07;7/17/2021 3:57:19 PM
Change Blindness;-0.03011085;-0.296123;0.1584611;1.192093E-07;7/17/2021 3:57:19 PM
Change Blindness;0.06202612;-0.623964;0.312407;1.192093E-07;7/17/2021 3:57:19 PM
Change Blindness;0.06202612;-0.623964;0.312407;0;7/17/2021 3:57:19 PM
Change Blindness;0.08605027;-0.8302166;0.2669277;1.192093E-07;7/17/2021 3:57:20 PM
Change Blindness;0.08605027;-0.8302166;0.2669277;0;7/17/2021 3:57:20 PM
Change Blindness;-0.04466417;0.8477261;0.08918627;1.192093E-07;7/17/2021 3:57:24 PM
Change Blindness;-0.050861;0.8468243;0.09861343;1.192093E-07;7/17/2021 3:57:24 PM
Change Blindness;-0.05388063;0.8462372;0.1025012;1.192093E-07;7/17/2021 3:57:24 PM
Change Blindness;-0.06234502;0.8462126;0.1128833;1.192093E-07;7/17/2021 3:57:24 PM
Change Blindness;-0.06462487;0.8471678;0.1151802;1.192093E-07;7/17/2021 3:57:24 PM
Change Blindness;-0.06947614;0.8489249;0.1203831;1.192093E-07;7/17/2021 3:57:24 PM
Change Blindness;-0.07230172;0.8534405;0.1248461;1.192093E-07;7/17/2021 3:57:24 PM
Change Blindness;-0.07351065;0.8600954;0.1286514;1.192093E-07;7/17/2021 3:57:24 PM
Change Blindness;-0.07351065;0.8600954;0.1286514;0;7/17/2021 3:57:24 PM
Change Blindness;-0.07117283;0.8632316;0.1376097;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.07104684;0.8665621;0.1389034;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.07134961;0.8697662;0.1408319;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.06570511;0.8686475;0.1439321;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.0632505;0.8682644;0.145565;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.05491846;0.8625224;0.1535714;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.04838922;0.8604345;0.1596925;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.04320202;0.8613067;0.1642997;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.03810071;0.8621703;0.1691962;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.03483992;0.8631773;0.1707576;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.028651;0.8647549;0.1736569;1.192093E-07;7/17/2021 3:57:25 PM
Change Blindness;-0.02285594;0.8659339;0.1763511;1.192093E-07;7/17/2021 3:57:25 PM
