Condition;X;Y;Z;Displacement;Time stamp
Body warping;0.02474331;0.6711918;0.07275365;0.15;10/26/2021 2:51:20 PM
Body warping;0.02247879;0.671542;0.07527687;0.15;10/26/2021 2:51:20 PM
Body warping;0.01424636;0.6707119;0.07963495;0.15;10/26/2021 2:51:20 PM
Body warping;0.00678343;0.6700702;0.08401923;0.15;10/26/2021 2:51:20 PM
Body warping;0.002451424;0.6696867;0.08783855;0.15;10/26/2021 2:51:20 PM
Body warping;-0.005475101;0.6690306;0.0948024;0.15;10/26/2021 2:51:20 PM
Body warping;-0.00796049;0.6687475;0.09732157;0.15;10/26/2021 2:51:20 PM
Body warping;-0.01052594;0.6684774;0.09987202;0.15;10/26/2021 2:51:20 PM
Body warping;-0.01641912;0.6693872;0.1028381;0.15;10/26/2021 2:51:20 PM
Body warping;-0.01939619;0.6697727;0.10447;0.15;10/26/2021 2:51:20 PM
Body warping;-0.02379475;0.673108;0.1051005;0.15;10/26/2021 2:51:20 PM
Body warping;-0.02599605;0.6745426;0.1056089;0.15;10/26/2021 2:51:20 PM
Body warping;-0.02650568;0.6696481;0.108489;0.15;10/26/2021 2:51:20 PM
Body warping;-0.02707575;0.6675287;0.1099827;0.15;10/26/2021 2:51:20 PM
Body warping;-0.02643253;0.6620449;0.1122793;0.15;10/26/2021 2:51:20 PM
Body warping;-0.0257912;0.6522307;0.1167507;0.15;10/26/2021 2:51:20 PM
Body warping;-0.02759396;0.6550968;0.1167343;0.15;10/26/2021 2:51:20 PM
Body warping;-0.031071;0.6596668;0.1171597;0.15;10/26/2021 2:51:20 PM
Body warping;-0.03438105;0.6601816;0.1179024;0.15;10/26/2021 2:51:20 PM
Body warping;-0.04030354;0.663069;0.1181427;0.15;10/26/2021 2:51:20 PM
Body warping;-0.04299954;0.6653173;0.1177266;0.15;10/26/2021 2:51:20 PM
Body warping;-0.04807913;0.6692854;0.1171742;0.15;10/26/2021 2:51:20 PM
