Condition;X;Y;Z;Time stamp
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:06 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.7208955;-0.3229769;0.5227149;11/25/2020 4:12:07 PM
Change Blindness;0.132115;0.2997162;0.2851679;11/25/2020 4:12:07 PM
