Condition;X;Y;Z;Displacement;Time stamp
Body warping;-0,7130932;0,7924652;0,1422326;0;2021-08-20 18:13:54
Body warping;-0,7130932;0,7924652;0,1422326;0;2021-08-20 18:13:54
Body warping;-0,7100542;0,7858189;0,1416963;0;2021-08-20 18:13:54
Body warping;-0,7118824;0,7818271;0,134583;0;2021-08-20 18:13:54
Body warping;-0,7118824;0,7818271;0,134583;0;2021-08-20 18:13:54
Body warping;-0,7177466;0,7612586;0,1209119;0;2021-08-20 18:13:54
Body warping;-0,7222327;0,7445373;0,1091482;0;2021-08-20 18:13:54
Body warping;-0,7181702;0,7527577;0,1083684;0;2021-08-20 18:13:55
Body warping;-0,7123507;0,7742121;0,1135113;0;2021-08-20 18:13:55
Body warping;-0,7128276;0,7677596;0,1022968;0;2021-08-20 18:13:55
Body warping;-0,7135441;0,7606623;0,09121973;0;2021-08-20 18:13:55
Body warping;-0,7042295;0,7675553;0,09551977;0;2021-08-20 18:13:55
Body warping;-0,7042295;0,7675553;0,09551977;0;2021-08-20 18:13:55
Body warping;-0,6855122;0,7503455;0,09021699;0;2021-08-20 18:13:55
Body warping;-0,6726266;0,7687266;0,09683032;0;2021-08-20 18:13:55
Body warping;-0,6726266;0,7687266;0,09683032;0;2021-08-20 18:13:55
Body warping;-0,6505278;0,7859862;0,10158;0;2021-08-20 18:13:55
Body warping;-0,6493444;0,7862135;0,1015337;0;2021-08-20 18:13:55
Body warping;-0,638208;0,7830755;0,1034641;0;2021-08-20 18:13:55
Body warping;-0,6276148;0,7837317;0,1058644;0;2021-08-20 18:13:55
Body warping;-0,6276148;0,7837317;0,1058644;0;2021-08-20 18:13:55
Body warping;-0,6055543;0,789875;0,110948;0;2021-08-20 18:13:55
Body warping;-0,5951364;0,7927551;0,1131357;0;2021-08-20 18:13:55
Body warping;-0,5951364;0,7927551;0,1131357;0;2021-08-20 18:13:55
Body warping;-0,5670609;0,7810155;0,1101535;0;2021-08-20 18:13:55
Body warping;-0,5670609;0,7810155;0,1101535;0;2021-08-20 18:13:55
Body warping;-0,5504187;0,7703516;0,1070151;0;2021-08-20 18:13:55
Body warping;-0,5444341;0,7738568;0,1117994;0;2021-08-20 18:13:55
Body warping;-0,5382175;0,77432;0,1148982;0;2021-08-20 18:13:55
Body warping;-0,530937;0,7743496;0,117677;0;2021-08-20 18:13:55
Body warping;-0,530937;0,7743496;0,117677;0;2021-08-20 18:13:55
Body warping;-0,5207902;0,773432;0,1341226;0;2021-08-20 18:13:55
Body warping;-0,5177062;0,7737365;0,1392858;0;2021-08-20 18:13:55
Body warping;-0,514825;0,765713;0,1421607;0;2021-08-20 18:13:55
Body warping;-0,5110689;0,7579768;0,1452819;0;2021-08-20 18:13:55
Body warping;-0,5101253;0,7438883;0,1467966;0;2021-08-20 18:13:55
Body warping;-0,5139633;0,7404422;0,1459338;0;2021-08-20 18:13:55
Body warping;-0,5169923;0,7369078;0,145409;0;2021-08-20 18:13:55
Body warping;-0,5214562;0,7373199;0,1409702;0;2021-08-20 18:13:55
Body warping;-0,5253608;0,7373623;0,1370291;0;2021-08-20 18:13:55
Body warping;-0,5234583;0,7427567;0,1304267;0;2021-08-20 18:13:55
Body warping;-0,5234583;0,7427567;0,1304267;0;2021-08-20 18:13:55
Body warping;-0,5145262;0,7446589;0,1233349;0;2021-08-20 18:13:55
Body warping;-0,5126035;0,7454041;0,1242327;0;2021-08-20 18:13:55
Body warping;-0,5116897;0,7458085;0,1234774;0;2021-08-20 18:13:55
Body warping;-0,5116887;0,745809;0,1234765;0;2021-08-20 18:13:55
Body warping;-0,512993;0,7458069;0,1204942;0;2021-08-20 18:13:55
Body warping;-0,5135233;0,7453864;0,1165715;0;2021-08-20 18:13:55
Body warping;-0,5135233;0,7453864;0,1165715;0;2021-08-20 18:13:55
Body warping;-0,5143188;0,7445025;0,1088472;0;2021-08-20 18:13:55
Body warping;-0,5091546;0,7458205;0,1017755;0;2021-08-20 18:13:55
Body warping;-0,5031859;0,750968;0,09534203;0;2021-08-20 18:13:55
Body warping;-0,5031859;0,750968;0,09534203;0;2021-08-20 18:13:55
Body warping;-0,4922338;0,7593961;0,08293138;0;2021-08-20 18:13:55
Body warping;-0,4922338;0,7593961;0,08293138;0;2021-08-20 18:13:55
Body warping;-0,4808228;0,7435107;0,0833183;0;2021-08-20 18:13:55
Body warping;-0,4762765;0,7476684;0,08981984;0;2021-08-20 18:13:56
