Condition;X;Y;Z;Displacement;Time stamp
Body warping;0.05683285;0.7246568;0.1415397;0.02999997;12/2/2020 10:02:59 AM
Body warping;0.06088685;0.7285486;0.1397676;0.02999997;12/2/2020 10:02:59 AM
Body warping;0.06974044;0.755879;0.1231198;0.02999997;12/2/2020 10:02:59 AM
Body warping;0.0723789;0.7637489;0.1182698;0.02999997;12/2/2020 10:02:59 AM
Body warping;0.07885436;0.7609531;0.1188241;0.02999997;12/2/2020 10:02:59 AM
Body warping;0.09020658;0.7576267;0.1188551;0.02999997;12/2/2020 10:02:59 AM
Body warping;0.09046124;0.7686756;0.1003315;0.02999997;12/2/2020 10:02:59 AM
Body warping;0.09104016;0.7789918;0.083354;0.02999997;12/2/2020 10:02:59 AM
Body warping;-0.02879915;0.7000577;0.07236242;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.0275834;0.6979777;0.07328366;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.0259729;0.6947454;0.07463683;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.02458075;0.6920311;0.07591444;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.0211639;0.6878451;0.07853904;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01969844;0.6860358;0.07969031;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01935839;0.6857556;0.08066328;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.0185033;0.6863878;0.08273549;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01800895;0.6872145;0.08382729;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01704052;0.6884902;0.08583722;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01688548;0.6891639;0.08719133;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01668652;0.6897609;0.08850209;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01693058;0.6943384;0.08806619;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01693276;0.6955976;0.08805928;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01567744;0.6947761;0.08930299;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01451175;0.6941016;0.09047815;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01398995;0.6920954;0.09495685;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01371516;0.6912619;0.09702035;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01459596;0.6900956;0.09914775;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01495089;0.68958;0.1002226;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.0158431;0.6891019;0.1004032;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01740231;0.6882167;0.1009836;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01821426;0.6879848;0.1015153;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.0191069;0.6880038;0.1033213;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.0192434;0.6882249;0.1045422;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.0195682;0.6886052;0.1071133;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01973634;0.6886471;0.1077802;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01990587;0.6886852;0.1084745;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01915149;0.6885245;0.1083718;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01883287;0.6884532;0.1084248;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01855888;0.6882069;0.1087325;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01854995;0.6880373;0.1089853;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01889278;0.6878415;0.1099934;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01903718;0.687749;0.1104897;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01945482;0.6877145;0.1112665;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.01964349;0.687691;0.1116706;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.02103627;0.6872175;0.1124563;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.02166765;0.6869997;0.1128591;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.02182239;0.6866185;0.1127181;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.02216372;0.6859151;0.1125707;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.02177324;0.6854551;0.1117744;0.02999997;12/2/2020 10:03:21 AM
Body warping;-0.02114045;0.6845942;0.1104263;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.02082803;0.6845015;0.1103521;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.0205471;0.6843935;0.1102779;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.02023826;0.6848106;0.1105472;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.01997308;0.6851124;0.1107621;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.02016636;0.6851066;0.1104231;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.02033495;0.6850992;0.1101182;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.02119558;0.6849651;0.1088601;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.02142442;0.6849267;0.1085183;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.02115197;0.6850549;0.1081978;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.02029394;0.685608;0.1078186;0.02999997;12/2/2020 10:03:22 AM
Body warping;-0.01992042;0.6858544;0.1076306;0.02999997;12/2/2020 10:03:22 AM
