Condition;X;Y;Z;Displacement;Time stamp
Body warping;0.1612615;0.8326904;0.07421014;0.15;12/1/2020 1:29:53 PM
Body warping;0.1624315;0.8319625;0.07676427;0.15;12/1/2020 1:29:53 PM
Body warping;0.1606144;0.8317114;0.08396;0.15;12/1/2020 1:29:53 PM
Body warping;0.1596012;0.8304979;0.084115;0.15;12/1/2020 1:29:53 PM
Body warping;0.1586967;0.8292487;0.08453304;0.15;12/1/2020 1:29:53 PM
Body warping;0.1579073;0.8280525;0.08507624;0.15;12/1/2020 1:29:53 PM
Body warping;0.1553857;0.8282144;0.08017087;0.15;12/1/2020 1:29:53 PM
Body warping;0.1543144;0.8281842;0.07825385;0.15;12/1/2020 1:29:53 PM
Body warping;0.1538494;0.8269427;0.07677569;0.15;12/1/2020 1:29:53 PM
Body warping;0.1518063;0.8257137;0.07383309;0.15;12/1/2020 1:29:53 PM
Body warping;0.1503148;0.8256173;0.07234032;0.15;12/1/2020 1:29:53 PM
Body warping;0.1541917;0.8386279;0.07689755;0.15;12/1/2020 1:29:54 PM
Body warping;0.1555076;0.8373194;0.07857911;0.15;12/1/2020 1:29:54 PM
Body warping;0.1575747;0.8370672;0.07838982;0.15;12/1/2020 1:29:54 PM
Body warping;0.1583241;0.8379799;0.07670551;0.15;12/1/2020 1:29:54 PM
Body warping;0.1590536;0.8388128;0.07520802;0.15;12/1/2020 1:29:54 PM
Body warping;0.1927211;0.7802922;0.1040962;0.15;12/1/2020 1:29:54 PM
Body warping;0.1912387;0.772402;0.1279172;0.15;12/1/2020 1:29:54 PM
Body warping;0.1898737;0.7648146;0.1506464;0.15;12/1/2020 1:29:54 PM
Body warping;0.1795245;0.7812466;0.1519098;0.15;12/1/2020 1:29:54 PM
Body warping;0.1712121;0.8024088;0.1344988;0.15;12/1/2020 1:29:54 PM
Body warping;0.1934953;0.8071742;0.07402547;0.15;12/1/2020 1:29:54 PM
Body warping;0.1734261;0.8007946;0.07220923;0.15;12/1/2020 1:29:55 PM
Body warping;0.1744392;0.7996619;0.07462516;0.15;12/1/2020 1:29:55 PM
Body warping;0.1764221;0.7965604;0.08070598;0.15;12/1/2020 1:29:55 PM
Body warping;0.1774575;0.7945954;0.08443336;0.15;12/1/2020 1:29:55 PM
Body warping;0.1799732;0.7901163;0.09312126;0.15;12/1/2020 1:29:55 PM
Body warping;0.1810412;0.7882139;0.09685646;0.15;12/1/2020 1:29:55 PM
Body warping;0.1815246;0.7859582;0.1013084;0.15;12/1/2020 1:29:55 PM
Body warping;0.1825637;0.7816157;0.1099691;0.15;12/1/2020 1:29:55 PM
Body warping;0.1834951;0.7787236;0.1187495;0.15;12/1/2020 1:29:55 PM
Body warping;0.1839864;0.7772466;0.1230673;0.15;12/1/2020 1:29:55 PM
Body warping;0.1856043;0.774907;0.1318121;0.15;12/1/2020 1:29:55 PM
Body warping;0.1862735;0.7743217;0.1360703;0.15;12/1/2020 1:29:55 PM
Body warping;0.1869407;0.7736712;0.1403104;0.15;12/1/2020 1:29:55 PM
Body warping;0.1883103;0.7721728;0.1490042;0.15;12/1/2020 1:29:55 PM
Body warping;0.1885351;0.7711103;0.1535201;0.15;12/1/2020 1:29:55 PM
Body warping;0.1882221;0.7681088;0.1620499;0.15;12/1/2020 1:29:55 PM
Body warping;0.1877355;0.7662346;0.1661107;0.15;12/1/2020 1:29:55 PM
Body warping;0.186957;0.7627053;0.1740468;0.15;12/1/2020 1:29:56 PM
Body warping;0.1865151;0.7602624;0.1780098;0.15;12/1/2020 1:29:56 PM
Body warping;0.1857697;0.7557697;0.1856736;0.15;12/1/2020 1:29:56 PM
Body warping;0.1864257;0.7552097;0.1886275;0.15;12/1/2020 1:29:56 PM
Body warping;0.1881251;0.7540733;0.1939386;0.15;12/1/2020 1:29:56 PM
Body warping;0.1891478;0.7535149;0.1963306;0.15;12/1/2020 1:29:56 PM
Body warping;0.1900982;0.7528854;0.1988207;0.15;12/1/2020 1:29:56 PM
Body warping;0.1910373;0.7535673;0.2019834;0.15;12/1/2020 1:29:56 PM
Body warping;0.1911596;0.7545779;0.2028712;0.15;12/1/2020 1:29:56 PM
Body warping;0.190552;0.7573854;0.2049394;0.15;12/1/2020 1:29:56 PM
Body warping;0.1903298;0.7585496;0.2062062;0.15;12/1/2020 1:29:56 PM
Body warping;0.1892855;0.7611047;0.2076062;0.15;12/1/2020 1:29:56 PM
Body warping;0.1885132;0.7625087;0.2078904;0.15;12/1/2020 1:29:56 PM
Body warping;0.1868134;0.7647377;0.2092648;0.15;12/1/2020 1:29:56 PM
Body warping;0.185743;0.7657278;0.2101036;0.15;12/1/2020 1:29:56 PM
Body warping;0.1847355;0.76668;0.2110075;0.15;12/1/2020 1:29:56 PM
Body warping;0.1828586;0.7685007;0.2129579;0.15;12/1/2020 1:29:56 PM
Body warping;0.1807021;0.7697843;0.2142571;0.15;12/1/2020 1:29:56 PM
Body warping;0.1768686;0.7715922;0.2177165;0.15;12/1/2020 1:29:56 PM
Body warping;0.1751232;0.7721813;0.2198338;0.15;12/1/2020 1:29:56 PM
Body warping;0.1717665;0.7733958;0.2239796;0.15;12/1/2020 1:29:56 PM
Body warping;0.1689079;0.7738656;0.2268633;0.15;12/1/2020 1:29:56 PM
Body warping;0.1661747;0.7743543;0.2296617;0.15;12/1/2020 1:29:56 PM
Body warping;0.1598152;0.7748278;0.2369995;0.15;12/1/2020 1:29:56 PM
