Condition;X;Y;Z;Time stamp
Change Blindness;-0.3123832;0.8216205;0.353677;11/25/2020 4:10:33 PM
Change Blindness;-0.3115575;0.821739;0.352509;11/25/2020 4:10:33 PM
Change Blindness;-0.3077717;0.8238552;0.3487608;11/25/2020 4:10:33 PM
Change Blindness;-0.306596;0.8244815;0.3475912;11/25/2020 4:10:33 PM
Change Blindness;-0.3054572;0.8250742;0.3464555;11/25/2020 4:10:33 PM
Change Blindness;-0.3038859;0.8259417;0.3448149;11/25/2020 4:10:33 PM
Change Blindness;-0.3005636;0.8272812;0.3421949;11/25/2020 4:10:33 PM
Change Blindness;-0.2989814;0.8279144;0.3409331;11/25/2020 4:10:33 PM
Change Blindness;-0.2989814;0.8279144;0.3409331;11/25/2020 4:10:33 PM
Change Blindness;-0.2916812;0.8310641;0.3391472;11/25/2020 4:10:33 PM
Change Blindness;-0.2866823;0.8330984;0.3378733;11/25/2020 4:10:34 PM
Change Blindness;-0.2798075;0.8360636;0.3349817;11/25/2020 4:10:34 PM
Change Blindness;-0.2798075;0.8360636;0.3349817;11/25/2020 4:10:34 PM
Change Blindness;-0.2798075;0.8360636;0.3349817;11/25/2020 4:10:34 PM
Change Blindness;-0.2658542;0.8447278;0.3230089;11/25/2020 4:10:34 PM
Change Blindness;-0.2493554;0.8566701;0.3055384;11/25/2020 4:10:34 PM
Change Blindness;-0.2493554;0.8566701;0.3055384;11/25/2020 4:10:34 PM
Change Blindness;-0.2338208;0.8645492;0.2973002;11/25/2020 4:10:34 PM
Change Blindness;-0.2338208;0.8645492;0.2973002;11/25/2020 4:10:34 PM
Change Blindness;-0.2193048;0.8655068;0.2949686;11/25/2020 4:10:34 PM
Change Blindness;-0.2193048;0.8655068;0.2949686;11/25/2020 4:10:34 PM
Change Blindness;-0.1775776;0.8774329;0.2638845;11/25/2020 4:10:34 PM
Change Blindness;-0.1775776;0.8774329;0.2638845;11/25/2020 4:10:34 PM
Change Blindness;-0.1552346;0.8844541;0.2466319;11/25/2020 4:10:34 PM
Change Blindness;-0.1552346;0.8844541;0.2466319;11/25/2020 4:10:34 PM
Change Blindness;-0.1312237;0.8781449;0.2427768;11/25/2020 4:10:34 PM
Change Blindness;-0.1159362;0.8761399;0.2355102;11/25/2020 4:10:34 PM
Change Blindness;-0.1159362;0.8761399;0.2355102;11/25/2020 4:10:34 PM
Change Blindness;-0.1159362;0.8761399;0.2355102;11/25/2020 4:10:34 PM
Change Blindness;-0.09838508;0.8753825;0.2219245;11/25/2020 4:10:34 PM
Change Blindness;-0.07870527;0.8745889;0.2083937;11/25/2020 4:10:34 PM
Change Blindness;-0.07870527;0.8745889;0.2083937;11/25/2020 4:10:34 PM
Change Blindness;-0.05485623;0.8696577;0.1980396;11/25/2020 4:10:34 PM
Change Blindness;-0.04000056;0.8659677;0.1916994;11/25/2020 4:10:34 PM
Change Blindness;-0.04000056;0.8659677;0.1916994;11/25/2020 4:10:34 PM
Change Blindness;-0.02305659;0.8629411;0.1862596;11/25/2020 4:10:34 PM
Change Blindness;-0.02305659;0.8629411;0.1862596;11/25/2020 4:10:34 PM
Change Blindness;-0.008415138;0.8607352;0.1795605;11/25/2020 4:10:34 PM
Change Blindness;-0.008415138;0.8607352;0.1795605;11/25/2020 4:10:34 PM
Change Blindness;0.01686046;0.8571672;0.1616362;11/25/2020 4:10:34 PM
Change Blindness;0.03088403;0.8562552;0.1521123;11/25/2020 4:10:34 PM
Change Blindness;0.03088403;0.8562552;0.1521123;11/25/2020 4:10:34 PM
Change Blindness;0.03088403;0.8562552;0.1521123;11/25/2020 4:10:34 PM
Change Blindness;0.05457852;0.8584285;0.1275046;11/25/2020 4:10:34 PM
Change Blindness;1.014878;0.7095233;0.2514045;11/25/2020 4:10:37 PM
Change Blindness;0.01270789;0.8263215;0.1428942;11/25/2020 4:10:43 PM
Change Blindness;0.01272272;0.826682;0.142355;11/25/2020 4:10:43 PM
Change Blindness;0.03071628;0.8187968;0.1445375;11/25/2020 4:10:43 PM
Change Blindness;0.03500368;0.8174981;0.1466829;11/25/2020 4:10:43 PM
Change Blindness;0.03907155;0.816249;0.1487087;11/25/2020 4:10:43 PM
Change Blindness;0.04376611;0.814755;0.1506492;11/25/2020 4:10:43 PM
Change Blindness;0.05293971;0.8114046;0.1525075;11/25/2020 4:10:43 PM
Change Blindness;0.05746935;0.8095654;0.1525867;11/25/2020 4:10:43 PM
Change Blindness;0.06278316;0.8089048;0.1515514;11/25/2020 4:10:43 PM
Change Blindness;0.07773183;0.8068062;0.1491439;11/25/2020 4:10:43 PM
Change Blindness;0.08225556;0.806407;0.1485014;11/25/2020 4:10:43 PM
Change Blindness;0.0917455;0.8065371;0.1475402;11/25/2020 4:10:43 PM
Change Blindness;0.09690814;0.8069634;0.1471658;11/25/2020 4:10:43 PM
Change Blindness;0.1063604;0.8090007;0.1450954;11/25/2020 4:10:43 PM
Change Blindness;0.111079;0.8098545;0.144141;11/25/2020 4:10:43 PM
Change Blindness;0.02566749;0.7955819;0.1430113;11/25/2020 4:10:44 PM
Change Blindness;0.03072787;0.7943237;0.1463353;11/25/2020 4:10:44 PM
Change Blindness;0.03319433;0.7972243;0.14592;11/25/2020 4:10:44 PM
Change Blindness;0.03561765;0.7997099;0.1456375;11/25/2020 4:10:44 PM
Change Blindness;0.04339574;0.8112751;0.144518;11/25/2020 4:10:44 PM
Change Blindness;0.04592274;0.8152772;0.1441782;11/25/2020 4:10:44 PM
Change Blindness;0.04808963;0.8205897;0.1442766;11/25/2020 4:10:44 PM
Change Blindness;0.0544988;0.8369434;0.1424722;11/25/2020 4:10:44 PM
Change Blindness;0.06830966;0.8249483;0.1432252;11/25/2020 4:10:45 PM
Change Blindness;0.06727596;0.816971;0.145246;11/25/2020 4:10:45 PM
Change Blindness;0.06548989;0.8021156;0.1489688;11/25/2020 4:10:45 PM
Change Blindness;0.06383466;0.7970021;0.1489231;11/25/2020 4:10:45 PM
Change Blindness;0.05878332;0.7920161;0.1448216;11/25/2020 4:10:45 PM
Change Blindness;0.05721853;0.7916374;0.1431001;11/25/2020 4:10:45 PM
Change Blindness;0.05692052;0.7930743;0.1429824;11/25/2020 4:10:45 PM
Change Blindness;0.05797211;0.7966384;0.1438408;11/25/2020 4:10:45 PM
Change Blindness;0.05835975;0.7979648;0.1442035;11/25/2020 4:10:45 PM
Change Blindness;0.05972187;0.8011273;0.1443313;11/25/2020 4:10:45 PM
Change Blindness;0.06217609;0.8114922;0.1426882;11/25/2020 4:10:45 PM
Change Blindness;0.05854456;0.8020039;0.1446359;11/25/2020 4:10:45 PM
Change Blindness;0.05700525;0.7982889;0.1461964;11/25/2020 4:10:45 PM
Change Blindness;0.05688408;0.7981791;0.1463529;11/25/2020 4:10:45 PM
Change Blindness;0.05390216;0.7969149;0.1449656;11/25/2020 4:10:45 PM
Change Blindness;0.05128471;0.7958515;0.1435794;11/25/2020 4:10:45 PM
Change Blindness;0.04879162;0.7955641;0.1422848;11/25/2020 4:10:45 PM
Change Blindness;0.04478876;0.8076212;0.1471782;11/25/2020 4:10:46 PM
Change Blindness;0.04929105;0.808445;0.1501771;11/25/2020 4:10:46 PM
Change Blindness;0.05314219;0.8082503;0.1535549;11/25/2020 4:10:46 PM
Change Blindness;0.05678374;0.8080542;0.156755;11/25/2020 4:10:46 PM
Change Blindness;0.06553042;0.8078028;0.164738;11/25/2020 4:10:46 PM
Change Blindness;0.06722554;0.8077229;0.1659777;11/25/2020 4:10:46 PM
Change Blindness;0.06897703;0.8076349;0.1672916;11/25/2020 4:10:46 PM
Change Blindness;0.0707652;0.8075408;0.1686582;11/25/2020 4:10:46 PM
Change Blindness;0.06503612;0.8085944;0.1655895;11/25/2020 4:10:46 PM
Change Blindness;0.05827956;0.8086455;0.1637328;11/25/2020 4:10:46 PM
Change Blindness;0.04679777;0.8087299;0.1607645;11/25/2020 4:10:46 PM
Change Blindness;0.03752773;0.808064;0.1592587;11/25/2020 4:10:46 PM
Change Blindness;0.02072162;0.8087009;0.1524194;11/25/2020 4:10:46 PM
Change Blindness;0.01290449;0.8098221;0.1473936;11/25/2020 4:10:46 PM
Change Blindness;-0.003005867;0.8087178;0.1439789;11/25/2020 4:10:46 PM
Change Blindness;0.003264869;0.8078352;0.1471995;11/25/2020 4:10:46 PM
Change Blindness;0.01761848;0.8072011;0.1510446;11/25/2020 4:10:46 PM
Change Blindness;0.02871506;0.8055221;0.1563257;11/25/2020 4:10:46 PM
Change Blindness;0.03807601;0.8035741;0.1607217;11/25/2020 4:10:46 PM
Change Blindness;0.03807601;0.8035741;0.1607217;11/25/2020 4:10:46 PM
Change Blindness;0.04220499;0.8024516;0.1626341;11/25/2020 4:10:46 PM
Change Blindness;0.04975567;0.8008841;0.1655229;11/25/2020 4:10:46 PM
Change Blindness;0.05121073;0.8005708;0.1662172;11/25/2020 4:10:46 PM
Change Blindness;0.05121073;0.8005708;0.1662172;11/25/2020 4:10:46 PM
Change Blindness;0.05127031;0.7999192;0.1674411;11/25/2020 4:10:46 PM
Change Blindness;0.04256748;0.8014463;0.1649349;11/25/2020 4:10:46 PM
Change Blindness;0.03350738;0.8033118;0.1626346;11/25/2020 4:10:46 PM
Change Blindness;0.02183346;0.8067344;0.1567701;11/25/2020 4:10:46 PM
Change Blindness;0.02183346;0.8067344;0.1567701;11/25/2020 4:10:46 PM
Change Blindness;0.01169859;0.8117104;0.1474457;11/25/2020 4:10:46 PM
