Condition;Displacement Level;Answer;Time stamp
Body warping;0.12;Yes;9/28/2021 3:10:23 PM
Body warping;0.09;No;9/28/2021 3:10:40 PM
Body warping;0.06;Yes;9/28/2021 3:11:00 PM
Body warping;0.03000003;Yes;9/28/2021 3:11:12 PM
Body warping;0.12;Yes;9/28/2021 3:11:29 PM
Body warping;5.960464E-08;No;9/28/2021 3:11:45 PM
Body warping;0.06;Yes;9/28/2021 3:12:07 PM
Body warping;0.15;Yes;9/28/2021 3:12:23 PM
Body warping;0.08999997;No;9/28/2021 3:12:34 PM
Body warping;0.12;Yes;9/28/2021 3:12:44 PM
Body warping;0.09;Yes;9/28/2021 3:13:16 PM
Body warping;0;Yes;9/28/2021 3:13:24 PM
Body warping;0.12;Yes;9/28/2021 3:13:33 PM
Body warping;0.02999997;No;9/28/2021 3:13:44 PM
Body warping;0.09000003;Yes;9/28/2021 3:14:03 PM
Body warping;0.15;Yes;9/28/2021 3:14:29 PM
Body warping;0.06;No;9/28/2021 3:14:40 PM
Body warping;0.15;Yes;9/28/2021 3:14:55 PM
Body warping;0.15;Yes;9/28/2021 3:15:12 PM
Body warping;0.03;No;9/28/2021 3:15:21 PM
Body warping;0;No;9/28/2021 3:15:34 PM
Body warping;0.03;No;9/28/2021 3:15:57 PM
Body warping;5.960464E-08;No;9/28/2021 3:16:06 PM
Body warping;0.06;No;9/28/2021 3:16:14 PM
