Condition;Displacement Level;Answer;Time stamp
Body warping;0.09;No;9/28/2021 4:13:42 PM
Body warping;0.02999997;No;9/28/2021 4:13:53 PM
Body warping;0;Yes;9/28/2021 4:14:02 PM
Body warping;5.960464E-08;Yes;9/28/2021 4:14:11 PM
Body warping;0.12;Yes;9/28/2021 4:14:23 PM
Body warping;0.15;Yes;9/28/2021 4:14:35 PM
Body warping;0.09;Yes;9/28/2021 4:14:50 PM
Body warping;0.1200292;No;9/28/2021 4:15:03 PM
Body warping;0.09000003;No;9/28/2021 4:15:16 PM
Body warping;0.03;No;9/28/2021 4:15:25 PM
Body warping;0.06;No;9/28/2021 4:15:33 PM
Body warping;0.15;Yes;9/28/2021 4:15:43 PM
Body warping;0.12;Yes;9/28/2021 4:15:56 PM
Body warping;0.03;No;9/28/2021 4:16:06 PM
Body warping;0;No;9/28/2021 4:16:14 PM
Body warping;0.06;Yes;9/28/2021 4:16:24 PM
Body warping;0.12;Yes;9/28/2021 4:16:38 PM
Body warping;0.08999997;Yes;9/28/2021 4:16:47 PM
Body warping;0.03000003;No;9/28/2021 4:16:54 PM
Body warping;0.15;No;9/28/2021 4:17:02 PM
Body warping;2.861023E-06;No;9/28/2021 4:17:09 PM
Body warping;0.06;Yes;9/28/2021 4:17:17 PM
Body warping;0.06;Yes;9/28/2021 4:17:24 PM
Body warping;0.15;Yes;9/28/2021 4:17:37 PM
