Condition;Displacement Level;Answer;Time stamp
Body warping;0.02999997;No;12/02/2020 11.51
Body warping;0.09000003;No;12/02/2020 11.51
Body warping;00.12;Yes;12/02/2020 11.51
Body warping;0;No;12/02/2020 11.51
Body warping;00.06;Yes;12/02/2020 11.52
Body warping;00.12;No;12/02/2020 11.52
Body warping;00.15;Yes;12/02/2020 11.52
Body warping;0.03000003;No;12/02/2020 11.52
Body warping;00.15;Yes;12/02/2020 11.52
Body warping;0.08999997;No;12/02/2020 11.53
Body warping;8,94E-01;No;12/02/2020 11.53
Body warping;00.03;No;12/02/2020 11.53
Body warping;00.12;Yes;12/02/2020 11.53
Body warping;00.09;No;12/02/2020 11.53
Body warping;00.06;No;12/02/2020 11.53
Body warping;5,96E-02;No;12/02/2020 11.53
Body warping;00.06;No;12/02/2020 11.54
Body warping;00.09;No;12/02/2020 11.54
Body warping;00.12;Yes;12/02/2020 11.54
Body warping;00.06;No;12/02/2020 11.54
Body warping;00.03;No;12/02/2020 11.54
Body warping;00.15;Yes;12/02/2020 11.54
Body warping;00.15;No;12/02/2020 11.54
Body warping;8,70E+00;No;12/02/2020 11.55
