Condition;Displacement Level;Answer;Time stamp
Body warping;0.06;No;11/27/2020 5:56:51 PM
Body warping;0.15;Yes;11/27/2020 5:57:06 PM
Body warping;0.12;No;11/27/2020 5:57:22 PM
Body warping;0.06;No;11/27/2020 5:57:35 PM
Body warping;0.08999997;No;11/27/2020 5:57:48 PM
Body warping;0.09;Yes;11/27/2020 5:58:01 PM
Body warping;0.15;Yes;11/27/2020 5:58:36 PM
Body warping;0.06;No;11/27/2020 5:58:46 PM
Body warping;0.06;Yes;11/27/2020 5:59:04 PM
Body warping;0.03;No;11/27/2020 5:59:28 PM
Body warping;0;No;11/27/2020 5:59:40 PM
Body warping;0.02999997;No;11/27/2020 5:59:50 PM
Body warping;0.09;Yes;11/27/2020 6:00:25 PM
Body warping;0.03;No;11/27/2020 6:00:32 PM
Body warping;0.15;Yes;11/27/2020 6:00:54 PM
Body warping;1.192093E-07;No;11/27/2020 6:01:11 PM
Body warping;0.09000003;Yes;11/27/2020 6:01:27 PM
Body warping;0.12;No;11/27/2020 6:01:39 PM
Body warping;0.12;Yes;11/27/2020 6:01:51 PM
Body warping;5.960464E-08;No;11/27/2020 6:02:01 PM
Body warping;0.03000003;Yes;11/27/2020 6:02:19 PM
Body warping;5.960464E-08;Yes;11/27/2020 6:02:27 PM
Body warping;0.15;Yes;11/27/2020 6:02:36 PM
Body warping;0.12;Yes;11/27/2020 6:02:45 PM
